T03,Population growth and indicators of fertility and mortality,,,,,
155,Western Europe,2010,Life expectancy at birth for females (years),83.0,"Data refers to a 5-year period preceding the reference year.;Including Liechtenstein, and Monaco.","United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
155,Western Europe,2015,Population annual rate of increase (percent),0.4,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision, last accessed June 2017."
155,Western Europe,2015,Total fertility rate (children per women),1.7,"Data refers to a 5-year period preceding the reference year.;Including Liechtenstein, and Monaco.","United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
155,Western Europe,2015,"Infant mortality for both sexes (per 1,000 live births)",3.4,"Data refers to a 5-year period preceding the reference year.;Including Liechtenstein, and Monaco.","United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
155,Western Europe,2015,Life expectancy at birth for both sexes (years),81.1,"Data refers to a 5-year period preceding the reference year.;Including Liechtenstein, and Monaco.","United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
155,Western Europe,2015,Life expectancy at birth for males (years),78.4,"Data refers to a 5-year period preceding the reference year.;Including Liechtenstein, and Monaco.","United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
155,Western Europe,2015,Life expectancy at birth for females (years),83.7,"Data refers to a 5-year period preceding the reference year.;Including Liechtenstein, and Monaco.","United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
9,Oceania,2005,Population annual rate of increase (percent),1.4,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision, last accessed June 2017."
9,Oceania,2005,Total fertility rate (children per women),2.4,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
9,Oceania,2005,"Infant mortality for both sexes (per 1,000 live births)",25.2,Data refers to a 5-year period preceding the reference year.,"United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
9,Oceania,2005,Life expectancy at birth for both sexes (years),75.7,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
9,Oceania,2005,Life expectancy at birth for males (years),73.1,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
9,Oceania,2005,Life expectancy at birth for females (years),78.2,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
9,Oceania,2010,Population annual rate of increase (percent),1.7,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision, last accessed June 2017."
9,Oceania,2010,Total fertility rate (children per women),2.5,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
9,Oceania,2010,"Infant mortality for both sexes (per 1,000 live births)",22.4,Data refers to a 5-year period preceding the reference year.,"United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
9,Oceania,2010,Life expectancy at birth for both sexes (years),77.0,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
9,Oceania,2010,Life expectancy at birth for males (years),74.6,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
9,Oceania,2010,Life expectancy at birth for females (years),79.4,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
9,Oceania,2015,Population annual rate of increase (percent),1.5,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision, last accessed June 2017."
9,Oceania,2015,Total fertility rate (children per women),2.4,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
9,Oceania,2015,"Infant mortality for both sexes (per 1,000 live births)",20.8,Data refers to a 5-year period preceding the reference year.,"United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
9,Oceania,2015,Life expectancy at birth for both sexes (years),77.9,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
9,Oceania,2015,Life expectancy at birth for males (years),75.7,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
9,Oceania,2015,Life expectancy at birth for females (years),80.2,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
53,Australia and New Zealand,2005,Population annual rate of increase (percent),1.2,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision, last accessed June 2017."
53,Australia and New Zealand,2005,Total fertility rate (children per women),1.8,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
53,Australia and New Zealand,2005,"Infant mortality for both sexes (per 1,000 live births)",5.0,Data refers to a 5-year period preceding the reference year.,"United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
53,Australia and New Zealand,2005,Life expectancy at birth for both sexes (years),80.1,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
53,Australia and New Zealand,2005,Life expectancy at birth for males (years),77.6,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
53,Australia and New Zealand,2005,Life expectancy at birth for females (years),82.6,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
53,Australia and New Zealand,2010,Population annual rate of increase (percent),1.7,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision, last accessed June 2017."
53,Australia and New Zealand,2010,Total fertility rate (children per women),2.0,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
53,Australia and New Zealand,2010,"Infant mortality for both sexes (per 1,000 live births)",4.5,Data refers to a 5-year period preceding the reference year.,"United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
53,Australia and New Zealand,2010,Life expectancy at birth for both sexes (years),81.3,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
53,Australia and New Zealand,2010,Life expectancy at birth for males (years),79.0,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
53,Australia and New Zealand,2010,Life expectancy at birth for females (years),83.5,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
53,Australia and New Zealand,2015,Population annual rate of increase (percent),1.4,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision, last accessed June 2017."
53,Australia and New Zealand,2015,Total fertility rate (children per women),1.9,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
53,Australia and New Zealand,2015,"Infant mortality for both sexes (per 1,000 live births)",4.0,Data refers to a 5-year period preceding the reference year.,"United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
53,Australia and New Zealand,2015,Life expectancy at birth for both sexes (years),82.1,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
53,Australia and New Zealand,2015,Life expectancy at birth for males (years),80.1,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
53,Australia and New Zealand,2015,Life expectancy at birth for females (years),84.2,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
54,Melanesia,2005,Population annual rate of increase (percent),2.2,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision, last accessed June 2017."
54,Melanesia,2005,Total fertility rate (children per women),4.2,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
54,Melanesia,2005,"Infant mortality for both sexes (per 1,000 live births)",51.0,Data refers to a 5-year period preceding the reference year.,"United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
54,Melanesia,2005,Life expectancy at birth for both sexes (years),63.7,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
54,Melanesia,2005,Life expectancy at birth for males (years),61.4,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
54,Melanesia,2005,Life expectancy at birth for females (years),66.1,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
54,Melanesia,2010,Population annual rate of increase (percent),2.2,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision, last accessed June 2017."
54,Melanesia,2010,Total fertility rate (children per women),3.9,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
54,Melanesia,2010,"Infant mortality for both sexes (per 1,000 live births)",47.3,Data refers to a 5-year period preceding the reference year.,"United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
54,Melanesia,2010,Life expectancy at birth for both sexes (years),65.2,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
54,Melanesia,2010,Life expectancy at birth for males (years),62.9,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
54,Melanesia,2010,Life expectancy at birth for females (years),67.7,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
54,Melanesia,2015,Population annual rate of increase (percent),2.0,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision, last accessed June 2017."
54,Melanesia,2015,Total fertility rate (children per women),3.7,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
54,Melanesia,2015,"Infant mortality for both sexes (per 1,000 live births)",44.3,Data refers to a 5-year period preceding the reference year.,"United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
54,Melanesia,2015,Life expectancy at birth for both sexes (years),66.1,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
54,Melanesia,2015,Life expectancy at birth for males (years),63.8,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
54,Melanesia,2015,Life expectancy at birth for females (years),68.7,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
57,Micronesia,2005,Population annual rate of increase (percent),0.2,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision, last accessed June 2017."
57,Micronesia,2005,Total fertility rate (children per women),3.2,"Data refers to a 5-year period preceding the reference year.;Including Marshall Islands, Nauru, Northern Mariana Islands, and Palau.","United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
57,Micronesia,2005,"Infant mortality for both sexes (per 1,000 live births)",31.0,"Data refers to a 5-year period preceding the reference year.;Including Marshall Islands, Nauru, Northern Mariana Islands, and Palau.","United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
57,Micronesia,2005,Life expectancy at birth for both sexes (years),70.9,"Data refers to a 5-year period preceding the reference year.;Including Marshall Islands, Nauru, Northern Mariana Islands, and Palau.","United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
57,Micronesia,2005,Life expectancy at birth for males (years),68.9,"Data refers to a 5-year period preceding the reference year.;Including Marshall Islands, Nauru, Northern Mariana Islands, and Palau.","United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
57,Micronesia,2005,Life expectancy at birth for females (years),73.1,"Data refers to a 5-year period preceding the reference year.;Including Marshall Islands, Nauru, Northern Mariana Islands, and Palau.","United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
57,Micronesia,2010,Population annual rate of increase (percent),0.0,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision, last accessed June 2017."
57,Micronesia,2010,Total fertility rate (children per women),3.0,"Data refers to a 5-year period preceding the reference year.;Including Marshall Islands, Nauru, Northern Mariana Islands, and Palau.","United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
57,Micronesia,2010,"Infant mortality for both sexes (per 1,000 live births)",29.1,"Data refers to a 5-year period preceding the reference year.;Including Marshall Islands, Nauru, Northern Mariana Islands, and Palau.","United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
57,Micronesia,2010,Life expectancy at birth for both sexes (years),71.9,"Data refers to a 5-year period preceding the reference year.;Including Marshall Islands, Nauru, Northern Mariana Islands, and Palau.","United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
57,Micronesia,2010,Life expectancy at birth for males (years),69.7,"Data refers to a 5-year period preceding the reference year.;Including Marshall Islands, Nauru, Northern Mariana Islands, and Palau.","United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
57,Micronesia,2010,Life expectancy at birth for females (years),74.3,"Data refers to a 5-year period preceding the reference year.;Including Marshall Islands, Nauru, Northern Mariana Islands, and Palau.","United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
57,Micronesia,2015,Population annual rate of increase (percent),0.6,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision, last accessed June 2017."
57,Micronesia,2015,Total fertility rate (children per women),3.0,"Data refers to a 5-year period preceding the reference year.;Including Marshall Islands, Nauru, Northern Mariana Islands, and Palau.","United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
57,Micronesia,2015,"Infant mortality for both sexes (per 1,000 live births)",27.9,"Data refers to a 5-year period preceding the reference year.;Including Marshall Islands, Nauru, Northern Mariana Islands, and Palau.","United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
57,Micronesia,2015,Life expectancy at birth for both sexes (years),72.8,"Data refers to a 5-year period preceding the reference year.;Including Marshall Islands, Nauru, Northern Mariana Islands, and Palau.","United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
57,Micronesia,2015,Life expectancy at birth for males (years),70.5,"Data refers to a 5-year period preceding the reference year.;Including Marshall Islands, Nauru, Northern Mariana Islands, and Palau.","United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
57,Micronesia,2015,Life expectancy at birth for females (years),75.3,"Data refers to a 5-year period preceding the reference year.;Including Marshall Islands, Nauru, Northern Mariana Islands, and Palau.","United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
61,Polynesia,2005,Population annual rate of increase (percent),0.9,Data refers to a 5-year period preceding the reference year.;Including Pitcairn.,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision, last accessed June 2017."
61,Polynesia,2005,Total fertility rate (children per women),3.3,"Data refers to a 5-year period preceding the reference year.;Including American Samoa, Cook Islands, Niue, Pitcairn, Tokelau, Tuvalu, and Wallis and Futuna Islands.","United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
61,Polynesia,2005,"Infant mortality for both sexes (per 1,000 live births)",19.9,"Data refers to a 5-year period preceding the reference year.;Including American Samoa, Cook Islands, Niue, Pitcairn, Tokelau, Tuvalu, and Wallis and Futuna Islands.","United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
61,Polynesia,2005,Life expectancy at birth for both sexes (years),71.6,"Data refers to a 5-year period preceding the reference year.;Including American Samoa, Cook Islands, Niue, Pitcairn, Tokelau, Tuvalu, and Wallis and Futuna Islands.","United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
61,Polynesia,2005,Life expectancy at birth for males (years),68.9,"Data refers to a 5-year period preceding the reference year.;Including American Samoa, Cook Islands, Niue, Pitcairn, Tokelau, Tuvalu, and Wallis and Futuna Islands.","United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
61,Polynesia,2005,Life expectancy at birth for females (years),74.6,"Data refers to a 5-year period preceding the reference year.;Including American Samoa, Cook Islands, Niue, Pitcairn, Tokelau, Tuvalu, and Wallis and Futuna Islands.","United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
61,Polynesia,2010,Population annual rate of increase (percent),0.5,Data refers to a 5-year period preceding the reference year.;Including Pitcairn.,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision, last accessed June 2017."
61,Polynesia,2010,Total fertility rate (children per women),3.2,"Data refers to a 5-year period preceding the reference year.;Including American Samoa, Cook Islands, Niue, Pitcairn, Tokelau, Tuvalu, and Wallis and Futuna Islands.","United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
61,Polynesia,2010,"Infant mortality for both sexes (per 1,000 live births)",17.6,"Data refers to a 5-year period preceding the reference year.;Including American Samoa, Cook Islands, Niue, Pitcairn, Tokelau, Tuvalu, and Wallis and Futuna Islands.","United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
61,Polynesia,2010,Life expectancy at birth for both sexes (years),73.2,"Data refers to a 5-year period preceding the reference year.;Including American Samoa, Cook Islands, Niue, Pitcairn, Tokelau, Tuvalu, and Wallis and Futuna Islands.","United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
61,Polynesia,2010,Life expectancy at birth for males (years),70.6,"Data refers to a 5-year period preceding the reference year.;Including American Samoa, Cook Islands, Niue, Pitcairn, Tokelau, Tuvalu, and Wallis and Futuna Islands.","United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
61,Polynesia,2010,Life expectancy at birth for females (years),76.1,"Data refers to a 5-year period preceding the reference year.;Including American Samoa, Cook Islands, Niue, Pitcairn, Tokelau, Tuvalu, and Wallis and Futuna Islands.","United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
61,Polynesia,2015,Population annual rate of increase (percent),0.5,Data refers to a 5-year period preceding the reference year.;Including Pitcairn.,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision, last accessed June 2017."
61,Polynesia,2015,Total fertility rate (children per women),3.0,"Data refers to a 5-year period preceding the reference year.;Including American Samoa, Cook Islands, Niue, Pitcairn, Tokelau, Tuvalu, and Wallis and Futuna Islands.","United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
61,Polynesia,2015,"Infant mortality for both sexes (per 1,000 live births)",15.2,"Data refers to a 5-year period preceding the reference year.;Including American Samoa, Cook Islands, Niue, Pitcairn, Tokelau, Tuvalu, and Wallis and Futuna Islands.","United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
