T05,Proportion of seats held by women in national parliament,,,,,,,
Region/Country/Area,,Year,Series,Last Election Date,Last Election Date footnote,Value,Footnotes,Source
12,Algeria,2016,"Seats held by women in national parliament, as of February (%)",2017-05,,31.6000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
12,Algeria,2017,"Seats held by women in national parliament, as of February (%)",2017-05,,31.6000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
12,Algeria,2018,"Seats held by women in national parliament, as of February (%)",2017-05,,25.8000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
12,Algeria,2019,"Seats held by women in national parliament, as of February (%)",2017-05,,25.7600,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
20,Andorra,2000,"Seats held by women in national parliament, as of February (%)",2015-03,,7.1000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
20,Andorra,2005,"Seats held by women in national parliament, as of February (%)",2015-03,,14.3000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
20,Andorra,2010,"Seats held by women in national parliament, as of February (%)",2015-03,,35.7000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
20,Andorra,2015,"Seats held by women in national parliament, as of February (%)",2015-03,,50.0000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
20,Andorra,2016,"Seats held by women in national parliament, as of February (%)",2015-03,,39.3000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
20,Andorra,2017,"Seats held by women in national parliament, as of February (%)",2015-03,,32.1000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
20,Andorra,2018,"Seats held by women in national parliament, as of February (%)",2015-03,,32.1000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
20,Andorra,2019,"Seats held by women in national parliament, as of February (%)",2015-03,,32.1400,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
24,Angola,1990,"Seats held by women in national parliament, as of February (%)",2017-08,,14.5000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
24,Angola,2000,"Seats held by women in national parliament, as of February (%)",2017-08,,15.5000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
24,Angola,2005,"Seats held by women in national parliament, as of February (%)",2017-08,,15.0000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
24,Angola,2010,"Seats held by women in national parliament, as of February (%)",2017-08,,38.6000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
24,Angola,2015,"Seats held by women in national parliament, as of February (%)",2017-08,,36.8000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
24,Angola,2016,"Seats held by women in national parliament, as of February (%)",2017-08,,36.8000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
24,Angola,2017,"Seats held by women in national parliament, as of February (%)",2017-08,,38.2000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
24,Angola,2018,"Seats held by women in national parliament, as of February (%)",2017-08,,30.5000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
24,Angola,2019,"Seats held by women in national parliament, as of February (%)",2017-08,,30.0000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
28,Antigua and Barbuda,1990,"Seats held by women in national parliament, as of February (%)",2018-03,,0.0000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
28,Antigua and Barbuda,2005,"Seats held by women in national parliament, as of February (%)",2018-03,,10.5000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
28,Antigua and Barbuda,2010,"Seats held by women in national parliament, as of February (%)",2018-03,,10.5000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
28,Antigua and Barbuda,2015,"Seats held by women in national parliament, as of February (%)",2018-03,,11.1000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
28,Antigua and Barbuda,2016,"Seats held by women in national parliament, as of February (%)",2018-03,,11.1000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
28,Antigua and Barbuda,2017,"Seats held by women in national parliament, as of February (%)",2018-03,,11.1000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
28,Antigua and Barbuda,2018,"Seats held by women in national parliament, as of February (%)",2018-03,,11.1000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
28,Antigua and Barbuda,2019,"Seats held by women in national parliament, as of February (%)",2018-03,,11.1100,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
32,Argentina,1990,"Seats held by women in national parliament, as of February (%)",2017-10,,6.3000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
32,Argentina,2000,"Seats held by women in national parliament, as of February (%)",2017-10,,28.0000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
32,Argentina,2005,"Seats held by women in national parliament, as of February (%)",2017-10,,33.7000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
32,Argentina,2010,"Seats held by women in national parliament, as of February (%)",2017-10,,38.5000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
32,Argentina,2015,"Seats held by women in national parliament, as of February (%)",2017-10,,36.2000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
32,Argentina,2016,"Seats held by women in national parliament, as of February (%)",2017-10,,35.8000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
32,Argentina,2017,"Seats held by women in national parliament, as of February (%)",2017-10,,38.9000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
32,Argentina,2018,"Seats held by women in national parliament, as of February (%)",2017-10,,38.9000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
32,Argentina,2019,"Seats held by women in national parliament, as of February (%)",2017-10,,38.8200,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
51,Armenia,1990,"Seats held by women in national parliament, as of February (%)",2017-04,,35.6000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
51,Armenia,2000,"Seats held by women in national parliament, as of February (%)",2017-04,,3.1000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
51,Armenia,2005,"Seats held by women in national parliament, as of February (%)",2017-04,,5.3000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
51,Armenia,2010,"Seats held by women in national parliament, as of February (%)",2017-04,,9.2000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
51,Armenia,2015,"Seats held by women in national parliament, as of February (%)",2017-04,,10.7000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
51,Armenia,2016,"Seats held by women in national parliament, as of February (%)",2017-04,,10.7000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
51,Armenia,2017,"Seats held by women in national parliament, as of February (%)",2017-04,,9.9000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
51,Armenia,2018,"Seats held by women in national parliament, as of February (%)",2017-04,,18.1000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
51,Armenia,2019,"Seats held by women in national parliament, as of February (%)",2017-04,,24.2400,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
36,Australia,1990,"Seats held by women in national parliament, as of February (%)",2016-07,,6.1000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
36,Australia,2000,"Seats held by women in national parliament, as of February (%)",2016-07,,22.4000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
36,Australia,2005,"Seats held by women in national parliament, as of February (%)",2016-07,,24.7000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
36,Australia,2010,"Seats held by women in national parliament, as of February (%)",2016-07,,27.3000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
36,Australia,2015,"Seats held by women in national parliament, as of February (%)",2016-07,,26.7000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
36,Australia,2016,"Seats held by women in national parliament, as of February (%)",2016-07,,26.7000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
36,Australia,2017,"Seats held by women in national parliament, as of February (%)",2016-07,,28.7000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
36,Australia,2018,"Seats held by women in national parliament, as of February (%)",2016-07,,28.7000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
36,Australia,2019,"Seats held by women in national parliament, as of February (%)",2016-07,,30.0000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
40,Austria,1990,"Seats held by women in national parliament, as of February (%)",2017-10,,11.5000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
40,Austria,2000,"Seats held by women in national parliament, as of February (%)",2017-10,,26.8000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
40,Austria,2005,"Seats held by women in national parliament, as of February (%)",2017-10,,33.9000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
40,Austria,2010,"Seats held by women in national parliament, as of February (%)",2017-10,,27.9000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
40,Austria,2015,"Seats held by women in national parliament, as of February (%)",2017-10,,30.6000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
40,Austria,2016,"Seats held by women in national parliament, as of February (%)",2017-10,,30.6000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
40,Austria,2017,"Seats held by women in national parliament, as of February (%)",2017-10,,30.6000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
40,Austria,2018,"Seats held by women in national parliament, as of February (%)",2017-10,,34.4000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
40,Austria,2019,"Seats held by women in national parliament, as of February (%)",2017-10,,37.1600,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
31,Azerbaijan,2000,"Seats held by women in national parliament, as of February (%)",2015-11,,12.0000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
31,Azerbaijan,2005,"Seats held by women in national parliament, as of February (%)",2015-11,,10.5000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
31,Azerbaijan,2010,"Seats held by women in national parliament, as of February (%)",2015-11,,11.4000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
31,Azerbaijan,2015,"Seats held by women in national parliament, as of February (%)",2015-11,,15.6000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
31,Azerbaijan,2016,"Seats held by women in national parliament, as of February (%)",2015-11,,16.9000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
31,Azerbaijan,2017,"Seats held by women in national parliament, as of February (%)",2015-11,,16.8000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
31,Azerbaijan,2018,"Seats held by women in national parliament, as of February (%)",2015-11,,16.8000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
31,Azerbaijan,2019,"Seats held by women in national parliament, as of February (%)",2015-11,,16.8100,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
44,Bahamas,1990,"Seats held by women in national parliament, as of February (%)",2017-05,,4.1000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
44,Bahamas,2000,"Seats held by women in national parliament, as of February (%)",2017-05,,15.0000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
44,Bahamas,2005,"Seats held by women in national parliament, as of February (%)",2017-05,,20.0000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
44,Bahamas,2010,"Seats held by women in national parliament, as of February (%)",2017-05,,12.2000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
44,Bahamas,2015,"Seats held by women in national parliament, as of February (%)",2017-05,,13.2000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
44,Bahamas,2016,"Seats held by women in national parliament, as of February (%)",2017-05,,13.2000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
44,Bahamas,2017,"Seats held by women in national parliament, as of February (%)",2017-05,,13.2000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
44,Bahamas,2018,"Seats held by women in national parliament, as of February (%)",2017-05,,12.8000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
44,Bahamas,2019,"Seats held by women in national parliament, as of February (%)",2017-05,,12.8200,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
48,Bahrain,2005,"Seats held by women in national parliament, as of February (%)",2018-12,,0.0000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
48,Bahrain,2010,"Seats held by women in national parliament, as of February (%)",2018-12,,2.5000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
48,Bahrain,2015,"Seats held by women in national parliament, as of February (%)",2018-12,,7.5000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
48,Bahrain,2016,"Seats held by women in national parliament, as of February (%)",2018-12,,7.5000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
48,Bahrain,2017,"Seats held by women in national parliament, as of February (%)",2018-12,,7.5000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
48,Bahrain,2018,"Seats held by women in national parliament, as of February (%)",2018-12,,7.5000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
48,Bahrain,2019,"Seats held by women in national parliament, as of February (%)",2018-12,,15.0000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
50,Bangladesh,1990,"Seats held by women in national parliament, as of February (%)",2018-12,,10.3000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
50,Bangladesh,2000,"Seats held by women in national parliament, as of February (%)",2018-12,,9.1000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
50,Bangladesh,2005,"Seats held by women in national parliament, as of February (%)",2018-12,,2.0000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
50,Bangladesh,2010,"Seats held by women in national parliament, as of February (%)",2018-12,,18.6000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
50,Bangladesh,2015,"Seats held by women in national parliament, as of February (%)",2018-12,,20.0000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
50,Bangladesh,2016,"Seats held by women in national parliament, as of February (%)",2018-12,,20.0000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
50,Bangladesh,2017,"Seats held by women in national parliament, as of February (%)",2018-12,,20.3000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
50,Bangladesh,2018,"Seats held by women in national parliament, as of February (%)",2018-12,,20.3000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
50,Bangladesh,2019,"Seats held by women in national parliament, as of February (%)",2018-12,,20.6900,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
52,Barbados,1990,"Seats held by women in national parliament, as of February (%)",2018-05,,3.7000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
52,Barbados,2000,"Seats held by women in national parliament, as of February (%)",2018-05,,10.7000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
52,Barbados,2005,"Seats held by women in national parliament, as of February (%)",2018-05,,13.3000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
52,Barbados,2010,"Seats held by women in national parliament, as of February (%)",2018-05,,10.0000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
52,Barbados,2015,"Seats held by women in national parliament, as of February (%)",2018-05,,16.7000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
52,Barbados,2016,"Seats held by women in national parliament, as of February (%)",2018-05,,16.7000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
52,Barbados,2017,"Seats held by women in national parliament, as of February (%)",2018-05,,16.7000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
52,Barbados,2018,"Seats held by women in national parliament, as of February (%)",2018-05,,16.7000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
52,Barbados,2019,"Seats held by women in national parliament, as of February (%)",2018-05,,20.0000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
112,Belarus,2000,"Seats held by women in national parliament, as of February (%)",2016-09,,4.5000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
112,Belarus,2005,"Seats held by women in national parliament, as of February (%)",2016-09,,29.4000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
112,Belarus,2010,"Seats held by women in national parliament, as of February (%)",2016-09,,31.8000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
112,Belarus,2015,"Seats held by women in national parliament, as of February (%)",2016-09,,27.3000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
112,Belarus,2016,"Seats held by women in national parliament, as of February (%)",2016-09,,27.3000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
112,Belarus,2017,"Seats held by women in national parliament, as of February (%)",2016-09,,34.5000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
112,Belarus,2018,"Seats held by women in national parliament, as of February (%)",2016-09,,34.5000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
112,Belarus,2019,"Seats held by women in national parliament, as of February (%)",2016-09,,34.5500,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
56,Belgium,1990,"Seats held by women in national parliament, as of February (%)",2014-05,,8.5000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
56,Belgium,2000,"Seats held by women in national parliament, as of February (%)",2014-05,,23.3000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
56,Belgium,2005,"Seats held by women in national parliament, as of February (%)",2014-05,,34.7000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
56,Belgium,2010,"Seats held by women in national parliament, as of February (%)",2014-05,,38.0000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
56,Belgium,2015,"Seats held by women in national parliament, as of February (%)",2014-05,,39.3000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
56,Belgium,2016,"Seats held by women in national parliament, as of February (%)",2014-05,,39.3000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
56,Belgium,2017,"Seats held by women in national parliament, as of February (%)",2014-05,,38.0000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
56,Belgium,2018,"Seats held by women in national parliament, as of February (%)",2014-05,,38.0000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
56,Belgium,2019,"Seats held by women in national parliament, as of February (%)",2014-05,,38.0000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
84,Belize,1990,"Seats held by women in national parliament, as of February (%)",2015-11,,0.0000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
84,Belize,2000,"Seats held by women in national parliament, as of February (%)",2015-11,,6.9000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
84,Belize,2005,"Seats held by women in national parliament, as of February (%)",2015-11,,6.7000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
84,Belize,2010,"Seats held by women in national parliament, as of February (%)",2015-11,,0.0000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
84,Belize,2015,"Seats held by women in national parliament, as of February (%)",2015-11,,3.1000,,"Inter-Parliamentary Union (IPU), Geneva, ""Women in National Parliament"" dataset and the Millennium Development Goals Indicators database, last accessed March 2019."
