T26,Population employed in research and development (R&D),,,,,
196,Cyprus,2015,R & D personnel: Total (number in full-time equivalent),"1,246",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
196,Cyprus,2015,R & D personnel: Researchers - total (number in full-time equivalent),856,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
196,Cyprus,2015,R & D personnel: Researchers - women (number in full-time equivalent),328,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
196,Cyprus,2015,R & D personnel: Technicians - total (number in full-time equivalent),218,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
196,Cyprus,2015,R & D personnel: Technicians - women (number in full-time equivalent),92,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
196,Cyprus,2015,R & D personnel: Other supporting staff - total (number in full-time equivalent),172,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
196,Cyprus,2015,R & D personnel: Other supporting staff - women (number in full-time equivalent),89,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
196,Cyprus,2016,R & D personnel: Total (number in full-time equivalent),"1,260",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
196,Cyprus,2016,R & D personnel: Researchers - total (number in full-time equivalent),855,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
203,Czechia,2005,R & D personnel: Total (number in full-time equivalent),"43,370",Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
203,Czechia,2005,R & D personnel: Researchers - total (number in full-time equivalent),"24,169",Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
203,Czechia,2005,R & D personnel: Researchers - women (number in full-time equivalent),"6,349",Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
203,Czechia,2005,R & D personnel: Technicians - total (number in full-time equivalent),"13,773",Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
203,Czechia,2005,R & D personnel: Technicians - women (number in full-time equivalent),"5,153",Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
203,Czechia,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),"5,429",Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
203,Czechia,2005,R & D personnel: Other supporting staff - women (number in full-time equivalent),"2,633",Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
203,Czechia,2010,R & D personnel: Total (number in full-time equivalent),"52,290",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
203,Czechia,2010,R & D personnel: Researchers - total (number in full-time equivalent),"29,228",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
203,Czechia,2010,R & D personnel: Researchers - women (number in full-time equivalent),"7,429",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
203,Czechia,2010,R & D personnel: Technicians - total (number in full-time equivalent),"15,971",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
203,Czechia,2010,R & D personnel: Technicians - women (number in full-time equivalent),"5,141",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
203,Czechia,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),"7,092",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
203,Czechia,2010,R & D personnel: Other supporting staff - women (number in full-time equivalent),"3,369",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
203,Czechia,2015,R & D personnel: Total (number in full-time equivalent),"66,433",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
203,Czechia,2015,R & D personnel: Researchers - total (number in full-time equivalent),"38,081",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
203,Czechia,2015,R & D personnel: Researchers - women (number in full-time equivalent),"8,923",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
203,Czechia,2015,R & D personnel: Technicians - total (number in full-time equivalent),"19,350",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
203,Czechia,2015,R & D personnel: Technicians - women (number in full-time equivalent),"6,102",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
203,Czechia,2015,R & D personnel: Other supporting staff - total (number in full-time equivalent),"9,002",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
203,Czechia,2015,R & D personnel: Other supporting staff - women (number in full-time equivalent),"4,391",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
203,Czechia,2016,R & D personnel: Total (number in full-time equivalent),"65,783",Estimate.;Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
203,Czechia,2016,R & D personnel: Researchers - total (number in full-time equivalent),"37,338",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
180,Dem. Rep. of the Congo,2005,R & D personnel: Total (number in full-time equivalent),"33,478",Head count instead of Full-time equivalent.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
180,Dem. Rep. of the Congo,2005,R & D personnel: Researchers - total (number in full-time equivalent),"10,411",Head count instead of Full-time equivalent.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
180,Dem. Rep. of the Congo,2005,R & D personnel: Technicians - total (number in full-time equivalent),"1,510",Head count instead of Full-time equivalent.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
180,Dem. Rep. of the Congo,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),"21,557",Head count instead of Full-time equivalent.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
180,Dem. Rep. of the Congo,2009,R & D personnel: Total (number in full-time equivalent),"34,820",Head count instead of Full-time equivalent.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
180,Dem. Rep. of the Congo,2009,R & D personnel: Researchers - total (number in full-time equivalent),"12,470",Head count instead of Full-time equivalent.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
180,Dem. Rep. of the Congo,2009,R & D personnel: Technicians - total (number in full-time equivalent),"1,843",Head count instead of Full-time equivalent.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
180,Dem. Rep. of the Congo,2009,R & D personnel: Other supporting staff - total (number in full-time equivalent),"20,507",Head count instead of Full-time equivalent.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
180,Dem. Rep. of the Congo,2015,R & D personnel: Total (number in full-time equivalent),"1,967",Break in the time series.;Head count instead of Full-time equivalent.;Partial data.;Government only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
180,Dem. Rep. of the Congo,2015,R & D personnel: Researchers - total (number in full-time equivalent),658,Break in the time series.;Head count instead of Full-time equivalent.;Partial data.;Government only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
180,Dem. Rep. of the Congo,2015,R & D personnel: Researchers - women (number in full-time equivalent),68,Head count instead of Full-time equivalent.;Partial data.;Government only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
180,Dem. Rep. of the Congo,2015,R & D personnel: Technicians - total (number in full-time equivalent),542,Break in the time series.;Head count instead of Full-time equivalent.;Partial data.;Government only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
180,Dem. Rep. of the Congo,2015,R & D personnel: Technicians - women (number in full-time equivalent),65,Head count instead of Full-time equivalent.;Partial data.;Government only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
180,Dem. Rep. of the Congo,2015,R & D personnel: Other supporting staff - total (number in full-time equivalent),767,Break in the time series.;Head count instead of Full-time equivalent.;Partial data.;Government only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
180,Dem. Rep. of the Congo,2015,R & D personnel: Other supporting staff - women (number in full-time equivalent),137,Head count instead of Full-time equivalent.;Partial data.;Government only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
208,Denmark,2005,R & D personnel: Total (number in full-time equivalent),"43,499",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
208,Denmark,2005,R & D personnel: Researchers - total (number in full-time equivalent),"28,179",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
208,Denmark,2005,R & D personnel: Researchers - women (number in full-time equivalent),"8,113",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
208,Denmark,2005,R & D personnel: Technicians - total (number in full-time equivalent),"10,781",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
208,Denmark,2005,R & D personnel: Technicians - women (number in full-time equivalent),"5,364",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
208,Denmark,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),"4,538",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
208,Denmark,2005,R & D personnel: Other supporting staff - women (number in full-time equivalent),"2,534",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
208,Denmark,2010,R & D personnel: Total (number in full-time equivalent),"56,623",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
208,Denmark,2010,R & D personnel: Researchers - total (number in full-time equivalent),"37,435",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
208,Denmark,2010,R & D personnel: Researchers - women (number in full-time equivalent),"11,654",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
208,Denmark,2010,R & D personnel: Technicians - total (number in full-time equivalent),"12,557",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
208,Denmark,2010,R & D personnel: Technicians - women (number in full-time equivalent),"4,959",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
208,Denmark,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),"6,631",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
208,Denmark,2010,R & D personnel: Other supporting staff - women (number in full-time equivalent),"3,433",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
208,Denmark,2011,R & D personnel: Total (number in full-time equivalent),"57,585",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
208,Denmark,2011,R & D personnel: Researchers - total (number in full-time equivalent),"39,181",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
208,Denmark,2011,R & D personnel: Researchers - women (number in full-time equivalent),"12,376",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
208,Denmark,2011,R & D personnel: Technicians - total (number in full-time equivalent),"11,856",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
208,Denmark,2011,R & D personnel: Technicians - women (number in full-time equivalent),"4,694",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
208,Denmark,2011,R & D personnel: Other supporting staff - total (number in full-time equivalent),"6,548",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
208,Denmark,2011,R & D personnel: Other supporting staff - women (number in full-time equivalent),"3,112",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
208,Denmark,2015,R & D personnel: Total (number in full-time equivalent),"59,532",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
208,Denmark,2015,R & D personnel: Researchers - total (number in full-time equivalent),"42,425",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
208,Denmark,2015,R & D personnel: Researchers - women (number in full-time equivalent),"13,257",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
208,Denmark,2016,R & D personnel: Total (number in full-time equivalent),"60,290",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
208,Denmark,2016,R & D personnel: Researchers - total (number in full-time equivalent),"42,923",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
218,Ecuador,2003,R & D personnel: Researchers - total (number in full-time equivalent),645,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
218,Ecuador,2010,R & D personnel: Total (number in full-time equivalent),"4,769",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
218,Ecuador,2010,R & D personnel: Researchers - total (number in full-time equivalent),"2,110",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
218,Ecuador,2010,R & D personnel: Researchers - women (number in full-time equivalent),854,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
218,Ecuador,2010,R & D personnel: Technicians - total (number in full-time equivalent),"1,029",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
218,Ecuador,2010,R & D personnel: Technicians - women (number in full-time equivalent),300,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
218,Ecuador,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),"1,630",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
218,Ecuador,2010,R & D personnel: Other supporting staff - women (number in full-time equivalent),783,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
218,Ecuador,2014,R & D personnel: Total (number in full-time equivalent),"8,948",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
218,Ecuador,2014,R & D personnel: Researchers - total (number in full-time equivalent),"6,373",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
218,Ecuador,2014,R & D personnel: Researchers - women (number in full-time equivalent),"2,630",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
218,Ecuador,2014,R & D personnel: Technicians - total (number in full-time equivalent),"1,435",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
218,Ecuador,2014,R & D personnel: Technicians - women (number in full-time equivalent),714,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
218,Ecuador,2014,R & D personnel: Other supporting staff - total (number in full-time equivalent),"1,140",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
218,Ecuador,2014,R & D personnel: Other supporting staff - women (number in full-time equivalent),649,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
818,Egypt,2010,R & D personnel: Total (number in full-time equivalent),"86,455",Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
818,Egypt,2010,R & D personnel: Researchers - total (number in full-time equivalent),"40,752",Partial data.;Excluding private non-profit.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
818,Egypt,2010,R & D personnel: Researchers - women (number in full-time equivalent),"16,972",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
818,Egypt,2010,R & D personnel: Technicians - total (number in full-time equivalent),"20,758",Partial data.;Government only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
818,Egypt,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),"24,945",Partial data.;Government only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
818,Egypt,2016,R & D personnel: Total (number in full-time equivalent),"115,641",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
818,Egypt,2016,R & D personnel: Researchers - total (number in full-time equivalent),"65,097",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
818,Egypt,2016,R & D personnel: Researchers - women (number in full-time equivalent),"27,871",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
818,Egypt,2016,R & D personnel: Technicians - total (number in full-time equivalent),"31,795",Excluding private non-profit.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
818,Egypt,2016,R & D personnel: Other supporting staff - total (number in full-time equivalent),"18,748",Excluding private non-profit.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
222,El Salvador,2005,R & D personnel: Researchers - total (number in full-time equivalent),260,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
222,El Salvador,2005,R & D personnel: Researchers - women (number in full-time equivalent),81,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
222,El Salvador,2010,R & D personnel: Researchers - total (number in full-time equivalent),516,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
222,El Salvador,2010,R & D personnel: Researchers - women (number in full-time equivalent),190,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
222,El Salvador,2015,R & D personnel: Total (number in full-time equivalent),"1,085",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
222,El Salvador,2015,R & D personnel: Researchers - total (number in full-time equivalent),"1,001",Break in the time series.;Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
222,El Salvador,2015,R & D personnel: Researchers - women (number in full-time equivalent),404,Break in the time series.;Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
222,El Salvador,2015,R & D personnel: Technicians - total (number in full-time equivalent),44,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
222,El Salvador,2015,R & D personnel: Technicians - women (number in full-time equivalent),15,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
222,El Salvador,2015,R & D personnel: Other supporting staff - total (number in full-time equivalent),40,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
222,El Salvador,2015,R & D personnel: Other supporting staff - women (number in full-time equivalent),21,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
233,Estonia,2005,R & D personnel: Total (number in full-time equivalent),"4,362",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
233,Estonia,2005,R & D personnel: Researchers - total (number in full-time equivalent),"3,331",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
233,Estonia,2005,R & D personnel: Researchers - women (number in full-time equivalent),"1,317",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
233,Estonia,2005,R & D personnel: Technicians - total (number in full-time equivalent),567,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
233,Estonia,2005,R & D personnel: Technicians - women (number in full-time equivalent),274,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
233,Estonia,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),464,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
233,Estonia,2005,R & D personnel: Other supporting staff - women (number in full-time equivalent),305,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
233,Estonia,2010,R & D personnel: Total (number in full-time equivalent),"5,277",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
233,Estonia,2010,R & D personnel: Researchers - total (number in full-time equivalent),"4,077",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
233,Estonia,2010,R & D personnel: Researchers - women (number in full-time equivalent),"1,688",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
233,Estonia,2010,R & D personnel: Technicians - total (number in full-time equivalent),907,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
233,Estonia,2010,R & D personnel: Technicians - women (number in full-time equivalent),404,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
233,Estonia,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),293,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
