T04,International migrants and refugees,,,,,
148,Chad,2005,International migrant stock: Both sexes (% total population),3.5,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
148,Chad,2005,International migrant stock: Male (% total Population),3.2,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
148,Chad,2005,International migrant stock: Female (% total Population),3.8,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
148,Chad,2005,Total refugees and people in refugee-like situations (number),"275,412",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
148,Chad,2005,"Asylum seekers, including pending cases (number)",68,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
148,Chad,2005,Total population of concern to UNHCR (number),"275,480",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
148,Chad,2010,International migrant stock: Both sexes (number),"416,924",Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
148,Chad,2010,International migrant stock: Both sexes (% total population),3.5,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
148,Chad,2010,International migrant stock: Male (% total Population),3.1,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
148,Chad,2010,International migrant stock: Female (% total Population),3.9,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
148,Chad,2010,Total refugees and people in refugee-like situations (number),"347,939",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
148,Chad,2010,"Asylum seekers, including pending cases (number)",110,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
148,Chad,2010,Other of concern to UNHCR (number),"185,000",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
148,Chad,2010,Total population of concern to UNHCR (number),"533,049",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
148,Chad,2015,International migrant stock: Both sexes (number),"516,968",Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
148,Chad,2015,International migrant stock: Both sexes (% total population),3.7,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
148,Chad,2015,International migrant stock: Male (% total Population),3.4,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
148,Chad,2015,International migrant stock: Female (% total Population),4,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
148,Chad,2015,Total refugees and people in refugee-like situations (number),"420,774",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
148,Chad,2015,"Asylum seekers, including pending cases (number)","2,749",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
148,Chad,2015,Other of concern to UNHCR (number),"50,000",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
148,Chad,2015,Total population of concern to UNHCR (number),"473,523",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
148,Chad,2017,International migrant stock: Both sexes (number),"489,690",Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
148,Chad,2017,International migrant stock: Both sexes (% total population),3.3,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
148,Chad,2017,International migrant stock: Male (% total Population),3,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
148,Chad,2017,International migrant stock: Female (% total Population),3.5,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
148,Chad,2017,Total refugees and people in refugee-like situations (number),"400,705",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
148,Chad,2017,"Asylum seekers, including pending cases (number)","1,914",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
148,Chad,2017,Other of concern to UNHCR (number),"161,060",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
148,Chad,2017,Total population of concern to UNHCR (number),"563,679",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
830,Channel Islands,2005,International migrant stock: Both sexes (number),"70,941",Refers to Guernsey and Jersey.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
830,Channel Islands,2005,International migrant stock: Both sexes (% total population),46,Refers to Guernsey and Jersey.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
830,Channel Islands,2005,International migrant stock: Male (% total Population),44.3,Refers to Guernsey and Jersey.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
830,Channel Islands,2005,International migrant stock: Female (% total Population),47.6,Refers to Guernsey and Jersey.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
830,Channel Islands,2010,International migrant stock: Both sexes (number),"77,581",Refers to Guernsey and Jersey.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
830,Channel Islands,2010,International migrant stock: Both sexes (% total population),48.6,Refers to Guernsey and Jersey.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
830,Channel Islands,2010,International migrant stock: Male (% total Population),46.8,Refers to Guernsey and Jersey.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
830,Channel Islands,2010,International migrant stock: Female (% total Population),50.4,Refers to Guernsey and Jersey.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
830,Channel Islands,2015,International migrant stock: Both sexes (number),"82,307",Refers to Guernsey and Jersey.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
830,Channel Islands,2015,International migrant stock: Both sexes (% total population),50.3,Refers to Guernsey and Jersey.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
830,Channel Islands,2015,International migrant stock: Male (% total Population),48.5,Refers to Guernsey and Jersey.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
830,Channel Islands,2015,International migrant stock: Female (% total Population),52,Refers to Guernsey and Jersey.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
830,Channel Islands,2017,International migrant stock: Both sexes (number),"83,082",Refers to Guernsey and Jersey.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
830,Channel Islands,2017,International migrant stock: Both sexes (% total population),50.3,Refers to Guernsey and Jersey.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
830,Channel Islands,2017,International migrant stock: Male (% total Population),48.4,Refers to Guernsey and Jersey.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
830,Channel Islands,2017,International migrant stock: Female (% total Population),52.1,Refers to Guernsey and Jersey.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
152,Chile,2005,International migrant stock: Both sexes (number),"273,384",,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
152,Chile,2005,International migrant stock: Both sexes (% total population),1.7,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
152,Chile,2005,International migrant stock: Male (% total Population),1.6,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
152,Chile,2005,International migrant stock: Female (% total Population),1.8,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
152,Chile,2005,Total refugees and people in refugee-like situations (number),806,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
152,Chile,2005,"Asylum seekers, including pending cases (number)",107,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
152,Chile,2005,Total population of concern to UNHCR (number),913,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
152,Chile,2010,International migrant stock: Both sexes (number),"369,436",,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
152,Chile,2010,International migrant stock: Both sexes (% total population),2.2,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
152,Chile,2010,International migrant stock: Male (% total Population),2.1,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
152,Chile,2010,International migrant stock: Female (% total Population),2.3,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
152,Chile,2010,Total refugees and people in refugee-like situations (number),"1,621",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
152,Chile,2010,"Asylum seekers, including pending cases (number)",274,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
152,Chile,2010,Total population of concern to UNHCR (number),"1,895",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
152,Chile,2015,International migrant stock: Both sexes (number),"469,436",,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
152,Chile,2015,International migrant stock: Both sexes (% total population),2.6,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
152,Chile,2015,International migrant stock: Male (% total Population),2.5,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
152,Chile,2015,International migrant stock: Female (% total Population),2.8,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
152,Chile,2015,Total refugees and people in refugee-like situations (number),"1,798",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
152,Chile,2015,"Asylum seekers, including pending cases (number)",719,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
152,Chile,2015,Total population of concern to UNHCR (number),"2,517",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
152,Chile,2017,International migrant stock: Both sexes (number),"488,571",,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
152,Chile,2017,International migrant stock: Both sexes (% total population),2.7,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
152,Chile,2017,International migrant stock: Male (% total Population),2.6,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
152,Chile,2017,International migrant stock: Female (% total Population),2.8,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
152,Chile,2017,Total refugees and people in refugee-like situations (number),"1,736",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
152,Chile,2017,"Asylum seekers, including pending cases (number)","5,195",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
152,Chile,2017,Total population of concern to UNHCR (number),"6,931",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
156,China,2005,International migrant stock: Both sexes (number),"678,947","For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.;Refers to foreign citizens.","United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
156,China,2005,International migrant stock: Both sexes (% total population),0.1,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.;Refers to foreign citizens.","United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
156,China,2005,International migrant stock: Male (% total Population),0.1,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.;Refers to foreign citizens.","United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
156,China,2005,International migrant stock: Female (% total Population),0,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.;Refers to foreign citizens.","United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
156,China,2005,Total refugees and people in refugee-like situations (number),"301,041","For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.;Data as at the end of December.","United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
156,China,2005,"Asylum seekers, including pending cases (number)",84,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.;Data as at the end of December.","United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
156,China,2005,Other of concern to UNHCR (number),1,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.;Data as at the end of December.","United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
156,China,2005,Total population of concern to UNHCR (number),"301,126","For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.;Data as at the end of December.","United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
156,China,2010,International migrant stock: Both sexes (number),"849,861","For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.;Refers to foreign citizens.","United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
156,China,2010,International migrant stock: Both sexes (% total population),0.1,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.;Refers to foreign citizens.","United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
156,China,2010,International migrant stock: Male (% total Population),0.1,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.;Refers to foreign citizens.","United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
156,China,2010,International migrant stock: Female (% total Population),0.1,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.;Refers to foreign citizens.","United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
156,China,2010,Total refugees and people in refugee-like situations (number),"300,986","For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.;Data as at the end of December.","United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
156,China,2010,"Asylum seekers, including pending cases (number)",122,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.;Data as at the end of December.","United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
156,China,2010,Total population of concern to UNHCR (number),"301,108","For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.;Data as at the end of December.","United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
156,China,2015,International migrant stock: Both sexes (number),"978,046","For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.;Refers to foreign citizens.","United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
156,China,2015,International migrant stock: Both sexes (% total population),0.1,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.;Refers to foreign citizens.","United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
156,China,2015,International migrant stock: Male (% total Population),0.1,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.;Refers to foreign citizens.","United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
156,China,2015,International migrant stock: Female (% total Population),0.1,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.;Refers to foreign citizens.","United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
156,China,2015,Total refugees and people in refugee-like situations (number),"301,057","For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.;The 300,000 Vietnamese refugees are well integrated and in practice receive protection from the Government of China.","United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
156,China,2015,"Asylum seekers, including pending cases (number)",564,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
156,China,2015,Total population of concern to UNHCR (number),"301,621","For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
156,China,2017,International migrant stock: Both sexes (number),"999,527","For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.;Refers to foreign citizens.","United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
156,China,2017,International migrant stock: Both sexes (% total population),0.1,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.;Refers to foreign citizens.","United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
156,China,2017,International migrant stock: Male (% total Population),0.1,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.;Refers to foreign citizens.","United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
156,China,2017,International migrant stock: Female (% total Population),0.1,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.;Refers to foreign citizens.","United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
156,China,2017,Total refugees and people in refugee-like situations (number),"317,238","For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.;The 300,000 Vietnamese refugees are well integrated and in practice receive protection from the Government of China.","United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
156,China,2017,"Asylum seekers, including pending cases (number)",732,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
156,China,2017,Total population of concern to UNHCR (number),"317,970","For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
344,"China, Hong Kong SAR",2005,International migrant stock: Both sexes (number),"2,721,235",,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
344,"China, Hong Kong SAR",2005,International migrant stock: Both sexes (% total population),39.9,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
344,"China, Hong Kong SAR",2005,International migrant stock: Male (% total Population),36.2,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
344,"China, Hong Kong SAR",2005,International migrant stock: Female (% total Population),43.2,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
344,"China, Hong Kong SAR",2005,Total refugees and people in refugee-like situations (number),"1,934",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
344,"China, Hong Kong SAR",2005,"Asylum seekers, including pending cases (number)","1,097",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
344,"China, Hong Kong SAR",2005,Total population of concern to UNHCR (number),"3,031",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
344,"China, Hong Kong SAR",2010,International migrant stock: Both sexes (number),"2,779,950",,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
344,"China, Hong Kong SAR",2010,International migrant stock: Both sexes (% total population),39.6,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
344,"China, Hong Kong SAR",2010,International migrant stock: Male (% total Population),34.8,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
344,"China, Hong Kong SAR",2010,International migrant stock: Female (% total Population),43.8,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
344,"China, Hong Kong SAR",2010,Total refugees and people in refugee-like situations (number),154,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
344,"China, Hong Kong SAR",2010,"Asylum seekers, including pending cases (number)",486,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
344,"China, Hong Kong SAR",2010,Other of concern to UNHCR (number),3,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
344,"China, Hong Kong SAR",2010,Total population of concern to UNHCR (number),643,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
344,"China, Hong Kong SAR",2015,International migrant stock: Both sexes (number),"2,838,665",,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
344,"China, Hong Kong SAR",2015,International migrant stock: Both sexes (% total population),39.2,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
344,"China, Hong Kong SAR",2015,International migrant stock: Male (% total Population),33.4,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
344,"China, Hong Kong SAR",2015,International migrant stock: Female (% total Population),44.1,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
344,"China, Hong Kong SAR",2015,Total refugees and people in refugee-like situations (number),151,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
344,"China, Hong Kong SAR",2015,"Asylum seekers, including pending cases (number)","9,940",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
344,"China, Hong Kong SAR",2015,Other of concern to UNHCR (number),1,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
344,"China, Hong Kong SAR",2015,Total population of concern to UNHCR (number),"10,092",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
344,"China, Hong Kong SAR",2016,Total refugees and people in refugee-like situations (number),140,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
344,"China, Hong Kong SAR",2016,"Asylum seekers, including pending cases (number)","2,315",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
344,"China, Hong Kong SAR",2016,Other of concern to UNHCR (number),1,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
344,"China, Hong Kong SAR",2016,Total population of concern to UNHCR (number),"2,456",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
344,"China, Hong Kong SAR",2017,International migrant stock: Both sexes (number),"2,883,051",,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
344,"China, Hong Kong SAR",2017,International migrant stock: Both sexes (% total population),39.1,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
344,"China, Hong Kong SAR",2017,International migrant stock: Male (% total Population),33.6,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
344,"China, Hong Kong SAR",2017,International migrant stock: Female (% total Population),43.9,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
344,"China, Hong Kong SAR",2017,Total refugees and people in refugee-like situations (number),93,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
344,"China, Hong Kong SAR",2017,Other of concern to UNHCR (number),1,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
344,"China, Hong Kong SAR",2017,Total population of concern to UNHCR (number),94,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
446,"China, Macao SAR",2005,International migrant stock: Both sexes (number),"279,308",,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
446,"China, Macao SAR",2005,International migrant stock: Both sexes (% total population),57.9,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
446,"China, Macao SAR",2005,International migrant stock: Male (% total Population),56.9,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
446,"China, Macao SAR",2005,International migrant stock: Female (% total Population),58.8,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
446,"China, Macao SAR",2010,International migrant stock: Both sexes (number),"318,506",,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
446,"China, Macao SAR",2010,International migrant stock: Both sexes (% total population),59.3,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
446,"China, Macao SAR",2010,International migrant stock: Male (% total Population),56.8,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
