[T25.],Index of Industrial Production,,,,,
246,Finland,Index of industrial production: Manufacturing (Index base: 2005=100),2009,93.4,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
246,Finland,Index of industrial production: Manufacturing (Index base: 2005=100),2010,98.0,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
246,Finland,Index of industrial production: Manufacturing (Index base: 2005=100),2011,101.0,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
246,Finland,Index of industrial production: Manufacturing (Index base: 2005=100),2012,99.1,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
246,Finland,Index of industrial production: Manufacturing (Index base: 2005=100),2013,95.4,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
246,Finland,Index of industrial production: Manufacturing (Index base: 2005=100),2014,93.8,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
246,Finland,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",2007,101.2,Data refers to food and beverages only.,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
246,Finland,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",2008,101.4,Data refers to food and beverages only.,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
246,Finland,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",2009,98.0,Data refers to food and beverages only.,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
246,Finland,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",2010,101.2,Data refers to food and beverages only.,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
246,Finland,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",2011,101.7,Data refers to food and beverages only.,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
246,Finland,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",2012,100.7,Data refers to food and beverages only.,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
246,Finland,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",2013,100.6,Data refers to food and beverages only.,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
246,Finland,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",2014,97.5,Data refers to food and beverages only.,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
246,Finland,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",2007,99.4,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
246,Finland,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",2008,92.1,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
246,Finland,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",2009,76.5,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
246,Finland,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",2010,85.3,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
246,Finland,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",2011,86.3,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
246,Finland,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",2012,80.8,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
246,Finland,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",2013,75.4,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
246,Finland,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",2014,85.5,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
246,Finland,Index of industrial production: Basic metals (Index base: 2005=100),2007,94.9,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
246,Finland,Index of industrial production: Basic metals (Index base: 2005=100),2008,90.8,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
246,Finland,Index of industrial production: Basic metals (Index base: 2005=100),2009,70.2,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
246,Finland,Index of industrial production: Basic metals (Index base: 2005=100),2010,91.1,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
246,Finland,Index of industrial production: Basic metals (Index base: 2005=100),2011,94.7,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
246,Finland,Index of industrial production: Basic metals (Index base: 2005=100),2012,89.7,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
246,Finland,Index of industrial production: Basic metals (Index base: 2005=100),2013,88.6,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
246,Finland,Index of industrial production: Basic metals (Index base: 2005=100),2014,94.2,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
246,Finland,Index of industrial production: Metal products and machinery (Index Base: 2005=100),2007,118.9,"Excluding computer, electronic and optical products; and electrical equipment.","United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
246,Finland,Index of industrial production: Metal products and machinery (Index Base: 2005=100),2008,122.5,"Excluding computer, electronic and optical products; and electrical equipment.","United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
246,Finland,Index of industrial production: Metal products and machinery (Index Base: 2005=100),2009,88.7,"Excluding computer, electronic and optical products; and electrical equipment.","United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
246,Finland,Index of industrial production: Metal products and machinery (Index Base: 2005=100),2010,90.3,"Excluding computer, electronic and optical products; and electrical equipment.","United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
246,Finland,Index of industrial production: Metal products and machinery (Index Base: 2005=100),2011,98.0,"Excluding computer, electronic and optical products; and electrical equipment.","United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
246,Finland,Index of industrial production: Metal products and machinery (Index Base: 2005=100),2012,98.3,"Excluding computer, electronic and optical products; and electrical equipment.","United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
246,Finland,Index of industrial production: Metal products and machinery (Index Base: 2005=100),2013,94.2,"Excluding computer, electronic and optical products; and electrical equipment.","United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
246,Finland,Index of industrial production: Metal products and machinery (Index Base: 2005=100),2014,92.5,"Excluding computer, electronic and optical products; and electrical equipment.","United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
246,Finland,"Index of industrial production: Electricity, gas, steam (Index base: 2005=100)",2007,114.4,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
246,Finland,"Index of industrial production: Electricity, gas, steam (Index base: 2005=100)",2008,105.3,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
246,Finland,"Index of industrial production: Electricity, gas, steam (Index base: 2005=100)",2009,104.7,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
246,Finland,"Index of industrial production: Electricity, gas, steam (Index base: 2005=100)",2010,116.6,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
246,Finland,"Index of industrial production: Electricity, gas, steam (Index base: 2005=100)",2011,106.2,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
246,Finland,"Index of industrial production: Electricity, gas, steam (Index base: 2005=100)",2012,101.3,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
246,Finland,"Index of industrial production: Electricity, gas, steam (Index base: 2005=100)",2013,102.4,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
246,Finland,"Index of industrial production: Electricity, gas, steam (Index base: 2005=100)",2014,97.6,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
246,Finland,Index of industrial production: Water and waste management (Index base: 2005=100),2007,101.0,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
246,Finland,Index of industrial production: Water and waste management (Index base: 2005=100),2008,104.1,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
246,Finland,Index of industrial production: Water and waste management (Index base: 2005=100),2009,77.2,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
246,Finland,Index of industrial production: Water and waste management (Index base: 2005=100),2010,79.7,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
246,Finland,Index of industrial production: Water and waste management (Index base: 2005=100),2011,82.0,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
246,Finland,Index of industrial production: Water and waste management (Index base: 2005=100),2012,82.3,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
246,Finland,Index of industrial production: Water and waste management (Index base: 2005=100),2013,79.4,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
246,Finland,Index of industrial production: Water and waste management (Index base: 2005=100),2014,78.5,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
250,France,"Index of industrial production: Total industry - Mining; manufacturing; electricity, gas and water (Index base: 2005=100)",2007,102.1,"Excludes the Overseas Departments (French Guiana, Guadeloupe, Martinique, Mayotte and Réunion).","United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
250,France,"Index of industrial production: Total industry - Mining; manufacturing; electricity, gas and water (Index base: 2005=100)",2008,99.2,"Excludes the Overseas Departments (French Guiana, Guadeloupe, Martinique, Mayotte and Réunion).","United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
250,France,"Index of industrial production: Total industry - Mining; manufacturing; electricity, gas and water (Index base: 2005=100)",2009,85.2,"Excludes the Overseas Departments (French Guiana, Guadeloupe, Martinique, Mayotte and Réunion).","United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
250,France,"Index of industrial production: Total industry - Mining; manufacturing; electricity, gas and water (Index base: 2005=100)",2010,89.7,"Excludes the Overseas Departments (French Guiana, Guadeloupe, Martinique, Mayotte and Réunion).","United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
250,France,"Index of industrial production: Total industry - Mining; manufacturing; electricity, gas and water (Index base: 2005=100)",2011,91.7,"Excludes the Overseas Departments (French Guiana, Guadeloupe, Martinique, Mayotte and Réunion).","United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
250,France,"Index of industrial production: Total industry - Mining; manufacturing; electricity, gas and water (Index base: 2005=100)",2012,89.4,"Excludes the Overseas Departments (French Guiana, Guadeloupe, Martinique, Mayotte and Réunion).","United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
250,France,"Index of industrial production: Total industry - Mining; manufacturing; electricity, gas and water (Index base: 2005=100)",2013,88.6,"Excludes the Overseas Departments (French Guiana, Guadeloupe, Martinique, Mayotte and Réunion).","United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
250,France,"Index of industrial production: Total industry - Mining; manufacturing; electricity, gas and water (Index base: 2005=100)",2014,87.4,"Excludes the Overseas Departments (French Guiana, Guadeloupe, Martinique, Mayotte and Réunion).","United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
250,France,Index of industrial production: Mining (Index base: 2005=100),2007,105.1,"Excludes the Overseas Departments (French Guiana, Guadeloupe, Martinique, Mayotte and Réunion).","United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
250,France,Index of industrial production: Mining (Index base: 2005=100),2008,102.8,"Excludes the Overseas Departments (French Guiana, Guadeloupe, Martinique, Mayotte and Réunion).","United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
250,France,Index of industrial production: Mining (Index base: 2005=100),2009,89.8,"Excludes the Overseas Departments (French Guiana, Guadeloupe, Martinique, Mayotte and Réunion).","United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
250,France,Index of industrial production: Mining (Index base: 2005=100),2010,88.7,"Excludes the Overseas Departments (French Guiana, Guadeloupe, Martinique, Mayotte and Réunion).","United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
250,France,Index of industrial production: Mining (Index base: 2005=100),2011,89.0,"Excludes the Overseas Departments (French Guiana, Guadeloupe, Martinique, Mayotte and Réunion).","United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
250,France,Index of industrial production: Mining (Index base: 2005=100),2012,85.8,"Excludes the Overseas Departments (French Guiana, Guadeloupe, Martinique, Mayotte and Réunion).","United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
250,France,Index of industrial production: Mining (Index base: 2005=100),2013,85.4,"Excludes the Overseas Departments (French Guiana, Guadeloupe, Martinique, Mayotte and Réunion).","United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
250,France,Index of industrial production: Mining (Index base: 2005=100),2014,81.9,"Excludes the Overseas Departments (French Guiana, Guadeloupe, Martinique, Mayotte and Réunion).","United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
250,France,Index of industrial production: Manufacturing (Index base: 2005=100),2007,102.6,"Excludes the Overseas Departments (French Guiana, Guadeloupe, Martinique, Mayotte and Réunion).","United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
250,France,Index of industrial production: Manufacturing (Index base: 2005=100),2008,98.9,"Excludes the Overseas Departments (French Guiana, Guadeloupe, Martinique, Mayotte and Réunion).","United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
250,France,Index of industrial production: Manufacturing (Index base: 2005=100),2009,82.8,"Excludes the Overseas Departments (French Guiana, Guadeloupe, Martinique, Mayotte and Réunion).","United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
250,France,Index of industrial production: Manufacturing (Index base: 2005=100),2010,87.2,"Excludes the Overseas Departments (French Guiana, Guadeloupe, Martinique, Mayotte and Réunion).","United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
250,France,Index of industrial production: Manufacturing (Index base: 2005=100),2011,90.5,"Excludes the Overseas Departments (French Guiana, Guadeloupe, Martinique, Mayotte and Réunion).","United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
250,France,Index of industrial production: Manufacturing (Index base: 2005=100),2012,87.4,"Excludes the Overseas Departments (French Guiana, Guadeloupe, Martinique, Mayotte and Réunion).","United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
250,France,Index of industrial production: Manufacturing (Index base: 2005=100),2013,86.2,"Excludes the Overseas Departments (French Guiana, Guadeloupe, Martinique, Mayotte and Réunion).","United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
250,France,Index of industrial production: Manufacturing (Index base: 2005=100),2014,85.9,"Excludes the Overseas Departments (French Guiana, Guadeloupe, Martinique, Mayotte and Réunion).","United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
250,France,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",2007,101.5,"Excludes the Overseas Departments (French Guiana, Guadeloupe, Martinique, Mayotte and Réunion).","United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
250,France,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",2008,101.3,"Excludes the Overseas Departments (French Guiana, Guadeloupe, Martinique, Mayotte and Réunion).","United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
250,France,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",2009,99.6,"Excludes the Overseas Departments (French Guiana, Guadeloupe, Martinique, Mayotte and Réunion).","United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
250,France,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",2010,101.9,"Excludes the Overseas Departments (French Guiana, Guadeloupe, Martinique, Mayotte and Réunion).","United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
250,France,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",2011,104.6,"Excludes the Overseas Departments (French Guiana, Guadeloupe, Martinique, Mayotte and Réunion).","United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
250,France,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",2012,103.9,"Excludes the Overseas Departments (French Guiana, Guadeloupe, Martinique, Mayotte and Réunion).","United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
250,France,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",2013,101.8,"Excludes the Overseas Departments (French Guiana, Guadeloupe, Martinique, Mayotte and Réunion).","United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
250,France,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",2014,101.4,"Excludes the Overseas Departments (French Guiana, Guadeloupe, Martinique, Mayotte and Réunion).","United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
250,France,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",2007,81.8,"Excludes the Overseas Departments (French Guiana, Guadeloupe, Martinique, Mayotte and Réunion).","United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
250,France,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",2008,69.3,"Excludes the Overseas Departments (French Guiana, Guadeloupe, Martinique, Mayotte and Réunion).","United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
250,France,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",2009,54.3,"Excludes the Overseas Departments (French Guiana, Guadeloupe, Martinique, Mayotte and Réunion).","United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
250,France,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",2010,55.6,"Excludes the Overseas Departments (French Guiana, Guadeloupe, Martinique, Mayotte and Réunion).","United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
250,France,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",2011,56.3,"Excludes the Overseas Departments (French Guiana, Guadeloupe, Martinique, Mayotte and Réunion).","United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
250,France,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",2012,55.9,"Excludes the Overseas Departments (French Guiana, Guadeloupe, Martinique, Mayotte and Réunion).","United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
250,France,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",2013,53.6,"Excludes the Overseas Departments (French Guiana, Guadeloupe, Martinique, Mayotte and Réunion).","United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
250,France,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",2014,54.0,"Excludes the Overseas Departments (French Guiana, Guadeloupe, Martinique, Mayotte and Réunion).","United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
250,France,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",2007,102.7,"Excludes the Overseas Departments (French Guiana, Guadeloupe, Martinique, Mayotte and Réunion).","United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
250,France,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",2008,99.3,"Excludes the Overseas Departments (French Guiana, Guadeloupe, Martinique, Mayotte and Réunion).","United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
250,France,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",2009,90.0,"Excludes the Overseas Departments (French Guiana, Guadeloupe, Martinique, Mayotte and Réunion).","United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
250,France,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",2010,92.9,"Excludes the Overseas Departments (French Guiana, Guadeloupe, Martinique, Mayotte and Réunion).","United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
250,France,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",2011,95.1,"Excludes the Overseas Departments (French Guiana, Guadeloupe, Martinique, Mayotte and Réunion).","United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
250,France,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",2012,93.0,"Excludes the Overseas Departments (French Guiana, Guadeloupe, Martinique, Mayotte and Réunion).","United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
250,France,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",2013,92.9,"Excludes the Overseas Departments (French Guiana, Guadeloupe, Martinique, Mayotte and Réunion).","United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
250,France,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",2014,92.7,"Excludes the Overseas Departments (French Guiana, Guadeloupe, Martinique, Mayotte and Réunion).","United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
250,France,Index of industrial production: Basic metals (Index base: 2005=100),2007,102.3,"Excludes the Overseas Departments (French Guiana, Guadeloupe, Martinique, Mayotte and Réunion).","United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
250,France,Index of industrial production: Basic metals (Index base: 2005=100),2008,97.5,"Excludes the Overseas Departments (French Guiana, Guadeloupe, Martinique, Mayotte and Réunion).","United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
250,France,Index of industrial production: Basic metals (Index base: 2005=100),2009,68.9,"Excludes the Overseas Departments (French Guiana, Guadeloupe, Martinique, Mayotte and Réunion).","United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
250,France,Index of industrial production: Basic metals (Index base: 2005=100),2010,78.9,"Excludes the Overseas Departments (French Guiana, Guadeloupe, Martinique, Mayotte and Réunion).","United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
250,France,Index of industrial production: Basic metals (Index base: 2005=100),2011,80.9,"Excludes the Overseas Departments (French Guiana, Guadeloupe, Martinique, Mayotte and Réunion).","United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
250,France,Index of industrial production: Basic metals (Index base: 2005=100),2012,74.2,"Excludes the Overseas Departments (French Guiana, Guadeloupe, Martinique, Mayotte and Réunion).","United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
250,France,Index of industrial production: Basic metals (Index base: 2005=100),2013,73.1,"Excludes the Overseas Departments (French Guiana, Guadeloupe, Martinique, Mayotte and Réunion).","United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
250,France,Index of industrial production: Basic metals (Index base: 2005=100),2014,74.6,"Excludes the Overseas Departments (French Guiana, Guadeloupe, Martinique, Mayotte and Réunion).","United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
250,France,Index of industrial production: Metal products and machinery (Index Base: 2005=100),2007,104.1,"Excludes the Overseas Departments (French Guiana, Guadeloupe, Martinique, Mayotte and Réunion).","United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
250,France,Index of industrial production: Metal products and machinery (Index Base: 2005=100),2008,100.0,"Excludes the Overseas Departments (French Guiana, Guadeloupe, Martinique, Mayotte and Réunion).","United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
250,France,Index of industrial production: Metal products and machinery (Index Base: 2005=100),2009,78.1,"Excludes the Overseas Departments (French Guiana, Guadeloupe, Martinique, Mayotte and Réunion).","United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
250,France,Index of industrial production: Metal products and machinery (Index Base: 2005=100),2010,83.9,"Excludes the Overseas Departments (French Guiana, Guadeloupe, Martinique, Mayotte and Réunion).","United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
250,France,Index of industrial production: Metal products and machinery (Index Base: 2005=100),2011,88.3,"Excludes the Overseas Departments (French Guiana, Guadeloupe, Martinique, Mayotte and Réunion).","United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
