[T12.],Intentional homicides and other crimes,,,,,
52,Barbados,2015,"Percentage of male and female intentional homicide victims, Male",20.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
52,Barbados,2015,"Percentage of male and female intentional homicide victims, Female",2.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
52,Barbados,2015,"Assault rate per 100,000 population",518.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
52,Barbados,2015,"Kidnapping at the national level, rate per 100,000",4.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
52,Barbados,2015,"Theft at the national level, rate per 100,000 population",596.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
52,Barbados,2015,"Robbery at the national level, rate per 100,000 population",105.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
52,Barbados,2015,"Total Sexual Violence at the national level, rate per 100,000",68.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
52,Barbados,2016,"Assault rate per 100,000 population",547.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
52,Barbados,2016,"Kidnapping at the national level, rate per 100,000",3.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
52,Barbados,2016,"Theft at the national level, rate per 100,000 population",597.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
52,Barbados,2016,"Robbery at the national level, rate per 100,000 population",65.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
112,Belarus,2005,"Intentional homicide rates per 100,000",8.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
112,Belarus,2005,"Assault rate per 100,000 population",19.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
112,Belarus,2005,"Kidnapping at the national level, rate per 100,000",0.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
112,Belarus,2005,"Theft at the national level, rate per 100,000 population","1,072.6",,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
112,Belarus,2005,"Robbery at the national level, rate per 100,000 population",120.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
112,Belarus,2005,"Total Sexual Violence at the national level, rate per 100,000",8.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
112,Belarus,2010,"Intentional homicide rates per 100,000",4.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
112,Belarus,2010,"Percentage of male and female intentional homicide victims, Male",6.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
112,Belarus,2010,"Percentage of male and female intentional homicide victims, Female",2.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
112,Belarus,2010,"Assault rate per 100,000 population",12.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
112,Belarus,2010,"Kidnapping at the national level, rate per 100,000",0.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
112,Belarus,2010,"Theft at the national level, rate per 100,000 population",776.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
112,Belarus,2010,"Robbery at the national level, rate per 100,000 population",50.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
112,Belarus,2010,"Total Sexual Violence at the national level, rate per 100,000",3.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
112,Belarus,2014,"Intentional homicide rates per 100,000",3.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
112,Belarus,2014,"Percentage of male and female intentional homicide victims, Male",5.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
112,Belarus,2014,"Percentage of male and female intentional homicide victims, Female",2.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
112,Belarus,2014,"Assault rate per 100,000 population",8.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
112,Belarus,2014,"Kidnapping at the national level, rate per 100,000",0.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
112,Belarus,2014,"Theft at the national level, rate per 100,000 population",427.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
112,Belarus,2014,"Robbery at the national level, rate per 100,000 population",25.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
112,Belarus,2014,"Total Sexual Violence at the national level, rate per 100,000",4.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
56,Belgium,2005,"Intentional homicide rates per 100,000",2.1,"Data refer to offences, not victims, of intentional homicide.","United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
56,Belgium,2005,"Percentage of male and female intentional homicide victims, Male",2.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
56,Belgium,2005,"Percentage of male and female intentional homicide victims, Female",1.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
56,Belgium,2005,"Assault rate per 100,000 population",639.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
56,Belgium,2005,"Kidnapping at the national level, rate per 100,000",8.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
56,Belgium,2005,"Theft at the national level, rate per 100,000 population","2,061.0",,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
56,Belgium,2005,"Robbery at the national level, rate per 100,000 population","1,816.5",,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
56,Belgium,2005,"Total Sexual Violence at the national level, rate per 100,000",57.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
56,Belgium,2010,"Intentional homicide rates per 100,000",1.7,"Data refer to offences, not victims, of intentional homicide.","United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
56,Belgium,2010,"Percentage of male and female intentional homicide victims, Male",2.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
56,Belgium,2010,"Percentage of male and female intentional homicide victims, Female",1.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
56,Belgium,2010,"Assault rate per 100,000 population",710.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
56,Belgium,2010,"Kidnapping at the national level, rate per 100,000",10.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
56,Belgium,2010,"Theft at the national level, rate per 100,000 population","2,087.6",,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
56,Belgium,2010,"Robbery at the national level, rate per 100,000 population",218.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
56,Belgium,2010,"Total Sexual Violence at the national level, rate per 100,000",64.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
56,Belgium,2014,"Intentional homicide rates per 100,000",1.9,"Data refer to offences, not victims, of intentional homicide.","United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
56,Belgium,2014,"Percentage of male and female intentional homicide victims, Male",2.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
56,Belgium,2014,"Percentage of male and female intentional homicide victims, Female",1.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
56,Belgium,2014,"Assault rate per 100,000 population",626.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
56,Belgium,2014,"Kidnapping at the national level, rate per 100,000",10.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
56,Belgium,2014,"Theft at the national level, rate per 100,000 population","1,857.9",,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
56,Belgium,2014,"Robbery at the national level, rate per 100,000 population",195.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
56,Belgium,2014,"Total Sexual Violence at the national level, rate per 100,000",60.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
56,Belgium,2015,"Intentional homicide rates per 100,000",1.9,"Data refer to offences, not victims, of intentional homicide.","United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
56,Belgium,2015,"Assault rate per 100,000 population",600.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
56,Belgium,2015,"Kidnapping at the national level, rate per 100,000",10.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
56,Belgium,2015,"Theft at the national level, rate per 100,000 population","1,653.0",,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
56,Belgium,2015,"Robbery at the national level, rate per 100,000 population",195.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
56,Belgium,2015,"Total Sexual Violence at the national level, rate per 100,000",55.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
84,Belize,2004,"Intentional homicide rates per 100,000",28.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
84,Belize,2004,"Percentage of male and female intentional homicide victims, Male",46.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
84,Belize,2004,"Percentage of male and female intentional homicide victims, Female",10.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
84,Belize,2005,"Intentional homicide rates per 100,000",28.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
84,Belize,2005,"Kidnapping at the national level, rate per 100,000",3.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
84,Belize,2005,"Theft at the national level, rate per 100,000 population",592.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
84,Belize,2005,"Robbery at the national level, rate per 100,000 population",235.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
84,Belize,2009,"Intentional homicide rates per 100,000",30.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
84,Belize,2009,"Percentage of male and female intentional homicide victims, Male",56.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
84,Belize,2009,"Percentage of male and female intentional homicide victims, Female",5.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
84,Belize,2009,"Assault rate per 100,000 population",165.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
84,Belize,2009,"Kidnapping at the national level, rate per 100,000",0.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
84,Belize,2009,"Theft at the national level, rate per 100,000 population",375.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
84,Belize,2009,"Robbery at the national level, rate per 100,000 population",173.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
84,Belize,2009,"Total Sexual Violence at the national level, rate per 100,000",64.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
84,Belize,2010,"Intentional homicide rates per 100,000",40.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
84,Belize,2010,"Percentage of male and female intentional homicide victims, Male",70.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
84,Belize,2010,"Percentage of male and female intentional homicide victims, Female",10.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
84,Belize,2010,"Theft at the national level, rate per 100,000 population",259.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
84,Belize,2010,"Robbery at the national level, rate per 100,000 population",148.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
84,Belize,2010,"Total Sexual Violence at the national level, rate per 100,000",40.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
84,Belize,2014,"Intentional homicide rates per 100,000",35.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
84,Belize,2014,"Percentage of male and female intentional homicide victims, Male",63.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
84,Belize,2014,"Percentage of male and female intentional homicide victims, Female",6.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
84,Belize,2014,"Assault rate per 100,000 population",296.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
84,Belize,2014,"Kidnapping at the national level, rate per 100,000",1.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
84,Belize,2014,"Theft at the national level, rate per 100,000 population",234.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
84,Belize,2014,"Robbery at the national level, rate per 100,000 population",86.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
84,Belize,2014,"Total Sexual Violence at the national level, rate per 100,000",42.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
84,Belize,2015,"Intentional homicide rates per 100,000",33.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
84,Belize,2015,"Percentage of male and female intentional homicide victims, Male",61.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
84,Belize,2015,"Percentage of male and female intentional homicide victims, Female",5.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
84,Belize,2015,"Kidnapping at the national level, rate per 100,000",6.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
84,Belize,2015,"Theft at the national level, rate per 100,000 population",219.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
84,Belize,2015,"Robbery at the national level, rate per 100,000 population",59.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
84,Belize,2016,"Intentional homicide rates per 100,000",37.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
84,Belize,2016,"Percentage of male and female intentional homicide victims, Male",67.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
84,Belize,2016,"Percentage of male and female intentional homicide victims, Female",8.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
84,Belize,2016,"Theft at the national level, rate per 100,000 population",204.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
84,Belize,2016,"Robbery at the national level, rate per 100,000 population",63.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
204,Benin,2005,"Intentional homicide rates per 100,000",7.2,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
204,Benin,2010,"Intentional homicide rates per 100,000",6.6,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
204,Benin,2015,"Intentional homicide rates per 100,000",6.2,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
204,Benin,2015,"Percentage of male and female intentional homicide victims, Male",10.0,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
204,Benin,2015,"Percentage of male and female intentional homicide victims, Female",2.4,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
60,Bermuda,2004,"Intentional homicide rates per 100,000",1.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
60,Bermuda,2004,"Percentage of male and female intentional homicide victims, Male",0.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
60,Bermuda,2004,"Percentage of male and female intentional homicide victims, Female",2.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
60,Bermuda,2004,"Assault rate per 100,000 population",668.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
60,Bermuda,2004,"Kidnapping at the national level, rate per 100,000",3.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
60,Bermuda,2004,"Theft at the national level, rate per 100,000 population","1,541.5",,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
60,Bermuda,2004,"Robbery at the national level, rate per 100,000 population",118.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
60,Bermuda,2005,"Intentional homicide rates per 100,000",3.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
60,Bermuda,2005,"Percentage of male and female intentional homicide victims, Male",6.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
60,Bermuda,2005,"Percentage of male and female intentional homicide victims, Female",0.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
60,Bermuda,2010,"Intentional homicide rates per 100,000",10.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
60,Bermuda,2010,"Percentage of male and female intentional homicide victims, Male",23.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
60,Bermuda,2010,"Percentage of male and female intentional homicide victims, Female",0.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
60,Bermuda,2010,"Assault rate per 100,000 population",964.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
60,Bermuda,2010,"Kidnapping at the national level, rate per 100,000",1.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
60,Bermuda,2010,"Theft at the national level, rate per 100,000 population",950.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
60,Bermuda,2010,"Robbery at the national level, rate per 100,000 population",154.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
60,Bermuda,2010,"Total Sexual Violence at the national level, rate per 100,000",143.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
60,Bermuda,2015,"Intentional homicide rates per 100,000",6.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
60,Bermuda,2015,"Percentage of male and female intentional homicide victims, Male",13.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
60,Bermuda,2015,"Percentage of male and female intentional homicide victims, Female",0.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
60,Bermuda,2015,"Assault rate per 100,000 population",93.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
60,Bermuda,2015,"Kidnapping at the national level, rate per 100,000",1.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
60,Bermuda,2015,"Theft at the national level, rate per 100,000 population","2,272.5",,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
60,Bermuda,2015,"Robbery at the national level, rate per 100,000 population",74.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
60,Bermuda,2015,"Total Sexual Violence at the national level, rate per 100,000",137.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
60,Bermuda,2016,"Intentional homicide rates per 100,000",13.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
60,Bermuda,2016,"Percentage of male and female intentional homicide victims, Male",27.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
60,Bermuda,2016,"Percentage of male and female intentional homicide victims, Female",0.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
60,Bermuda,2016,"Assault rate per 100,000 population",74.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
60,Bermuda,2016,"Theft at the national level, rate per 100,000 population","2,190.3",,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
64,Bhutan,2005,"Intentional homicide rates per 100,000",1.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
64,Bhutan,2010,"Intentional homicide rates per 100,000",2.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
64,Bhutan,2010,"Assault rate per 100,000 population",9.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
64,Bhutan,2010,"Kidnapping at the national level, rate per 100,000",0.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
64,Bhutan,2010,"Theft at the national level, rate per 100,000 population",67.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
64,Bhutan,2010,"Robbery at the national level, rate per 100,000 population",6.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
64,Bhutan,2010,"Total Sexual Violence at the national level, rate per 100,000",9.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
64,Bhutan,2013,"Intentional homicide rates per 100,000",3.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
64,Bhutan,2013,"Assault rate per 100,000 population",1.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
64,Bhutan,2013,"Kidnapping at the national level, rate per 100,000",0.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
64,Bhutan,2013,"Theft at the national level, rate per 100,000 population",75.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
64,Bhutan,2013,"Robbery at the national level, rate per 100,000 population",5.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
64,Bhutan,2013,"Total Sexual Violence at the national level, rate per 100,000",8.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
64,Bhutan,2014,"Kidnapping at the national level, rate per 100,000",0.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
64,Bhutan,2014,"Theft at the national level, rate per 100,000 population",68.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
64,Bhutan,2014,"Total Sexual Violence at the national level, rate per 100,000",10.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
64,Bhutan,2016,"Intentional homicide rates per 100,000",1.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
64,Bhutan,2016,"Percentage of male and female intentional homicide victims, Male",1.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
64,Bhutan,2016,"Percentage of male and female intentional homicide victims, Female",1.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
68,Bolivia (Plurin. State of),2005,"Intentional homicide rates per 100,000",5.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
68,Bolivia (Plurin. State of),2005,"Assault rate per 100,000 population",66.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
68,Bolivia (Plurin. State of),2005,"Kidnapping at the national level, rate per 100,000",1.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
68,Bolivia (Plurin. State of),2005,"Theft at the national level, rate per 100,000 population",41.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
68,Bolivia (Plurin. State of),2005,"Robbery at the national level, rate per 100,000 population",93.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
68,Bolivia (Plurin. State of),2005,"Total Sexual Violence at the national level, rate per 100,000",18.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
68,Bolivia (Plurin. State of),2008,"Intentional homicide rates per 100,000",8.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
68,Bolivia (Plurin. State of),2008,"Percentage of male and female intentional homicide victims, Male",14.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
68,Bolivia (Plurin. State of),2008,"Percentage of male and female intentional homicide victims, Female",2.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
68,Bolivia (Plurin. State of),2008,"Assault rate per 100,000 population",72.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
68,Bolivia (Plurin. State of),2008,"Kidnapping at the national level, rate per 100,000",1.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
