[T13.],Gross domestic product and gross domestic product per capita,,,,,
419,Latin America & the Caribbean,2016,GDP real rates of growth (percent),-1.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
419,Latin America & the Caribbean,2017,GDP real rates of growth (percent),0.8,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
29,Caribbean,1985,GDP in current prices (millions of US dollars),"69,195",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
29,Caribbean,1995,GDP in current prices (millions of US dollars),"119,686",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
29,Caribbean,2005,GDP in current prices (millions of US dollars),"221,390",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
29,Caribbean,2010,GDP in current prices (millions of US dollars),"288,896",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
29,Caribbean,2015,GDP in current prices (millions of US dollars),"341,075",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
29,Caribbean,2016,GDP in current prices (millions of US dollars),"346,934",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
29,Caribbean,2017,GDP in current prices (millions of US dollars),"354,606",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
29,Caribbean,1985,GDP per capita (US dollars),"2,222",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
29,Caribbean,1995,GDP per capita (US dollars),"3,369",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
29,Caribbean,2005,GDP per capita (US dollars),"5,654",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
29,Caribbean,2010,GDP per capita (US dollars),"7,089",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
29,Caribbean,2015,GDP per capita (US dollars),"8,055",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
29,Caribbean,2016,GDP per capita (US dollars),"8,137",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
29,Caribbean,2017,GDP per capita (US dollars),"8,262",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
29,Caribbean,1985,GDP in constant 2010 prices (millions of US dollars),"151,318",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
29,Caribbean,1995,GDP in constant 2010 prices (millions of US dollars),"183,368",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
29,Caribbean,2005,GDP in constant 2010 prices (millions of US dollars),"263,011",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
29,Caribbean,2010,GDP in constant 2010 prices (millions of US dollars),"288,896",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
29,Caribbean,2015,GDP in constant 2010 prices (millions of US dollars),"313,919",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
29,Caribbean,2016,GDP in constant 2010 prices (millions of US dollars),"316,894",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
29,Caribbean,2017,GDP in constant 2010 prices (millions of US dollars),"319,330",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
29,Caribbean,1985,GDP real rates of growth (percent),0.8,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
29,Caribbean,1995,GDP real rates of growth (percent),4.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
29,Caribbean,2005,GDP real rates of growth (percent),3.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
29,Caribbean,2010,GDP real rates of growth (percent),1.8,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
29,Caribbean,2015,GDP real rates of growth (percent),2.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
29,Caribbean,2016,GDP real rates of growth (percent),0.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
29,Caribbean,2017,GDP real rates of growth (percent),0.8,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
13,Central America,1985,GDP in current prices (millions of US dollars),"258,698",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
13,Central America,1995,GDP in current prices (millions of US dollars),"412,184",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
13,Central America,2005,GDP in current prices (millions of US dollars),"972,224",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
13,Central America,2010,GDP in current prices (millions of US dollars),"1,210,291",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
13,Central America,2015,GDP in current prices (millions of US dollars),"1,401,962",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
13,Central America,2016,GDP in current prices (millions of US dollars),"1,321,864",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
13,Central America,2017,GDP in current prices (millions of US dollars),"1,416,752",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
13,Central America,1985,GDP per capita (US dollars),"2,496",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
13,Central America,1995,GDP per capita (US dollars),"3,250",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
13,Central America,2005,GDP per capita (US dollars),"6,560",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
13,Central America,2010,GDP per capita (US dollars),"7,538",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
13,Central America,2015,GDP per capita (US dollars),"8,121",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
13,Central America,2016,GDP per capita (US dollars),"7,554",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
13,Central America,2017,GDP per capita (US dollars),"7,990",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
13,Central America,1985,GDP in constant 2010 prices (millions of US dollars),"652,279",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
13,Central America,1995,GDP in constant 2010 prices (millions of US dollars),"793,168",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
13,Central America,2005,GDP in constant 2010 prices (millions of US dollars),"1,106,744",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
13,Central America,2010,GDP in constant 2010 prices (millions of US dollars),"1,210,291",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
13,Central America,2015,GDP in constant 2010 prices (millions of US dollars),"1,412,539",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
13,Central America,2016,GDP in constant 2010 prices (millions of US dollars),"1,455,557",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
13,Central America,2017,GDP in constant 2010 prices (millions of US dollars),"1,488,924",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
13,Central America,1985,GDP real rates of growth (percent),2.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
13,Central America,1995,GDP real rates of growth (percent),-5.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
13,Central America,2005,GDP real rates of growth (percent),2.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
13,Central America,2010,GDP real rates of growth (percent),5.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
13,Central America,2015,GDP real rates of growth (percent),3.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
13,Central America,2016,GDP real rates of growth (percent),3.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
13,Central America,2017,GDP real rates of growth (percent),2.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
5,South America,1985,GDP in current prices (millions of US dollars),"458,228",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
5,South America,1995,GDP in current prices (millions of US dollars),"1,433,755",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
5,South America,2005,GDP in current prices (millions of US dollars),"1,664,043",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
5,South America,2010,GDP in current prices (millions of US dollars),"3,838,379",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
5,South America,2015,GDP in current prices (millions of US dollars),"3,737,774",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
5,South America,2016,GDP in current prices (millions of US dollars),"3,580,257",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
5,South America,2017,GDP in current prices (millions of US dollars),"3,983,536",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
5,South America,1985,GDP per capita (US dollars),"1,701",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
5,South America,1995,GDP per capita (US dollars),"4,433",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
5,South America,2005,GDP per capita (US dollars),"4,460",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
5,South America,2010,GDP per capita (US dollars),"9,716",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
5,South America,2015,GDP per capita (US dollars),"8,981",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
5,South America,2016,GDP per capita (US dollars),"8,521",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
5,South America,2017,GDP per capita (US dollars),"9,393",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
5,South America,1985,GDP in constant 2010 prices (millions of US dollars),"1,825,986",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
5,South America,1995,GDP in constant 2010 prices (millions of US dollars),"2,425,428",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
5,South America,2005,GDP in constant 2010 prices (millions of US dollars),"3,082,058",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
5,South America,2010,GDP in constant 2010 prices (millions of US dollars),"3,838,379",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
5,South America,2015,GDP in constant 2010 prices (millions of US dollars),"4,189,190",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
5,South America,2016,GDP in constant 2010 prices (millions of US dollars),"4,054,401",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
5,South America,2017,GDP in constant 2010 prices (millions of US dollars),"4,064,679",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
5,South America,1985,GDP real rates of growth (percent),4.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
5,South America,1995,GDP real rates of growth (percent),3.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
5,South America,2005,GDP real rates of growth (percent),5.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
5,South America,2010,GDP real rates of growth (percent),6.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
5,South America,2015,GDP real rates of growth (percent),-1.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
5,South America,2016,GDP real rates of growth (percent),-3.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
5,South America,2017,GDP real rates of growth (percent),0.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
142,Asia,1985,GDP in current prices (millions of US dollars),"2,880,324",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
142,Asia,1995,GDP in current prices (millions of US dollars),"9,195,635",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
142,Asia,2005,GDP in current prices (millions of US dollars),"12,338,718",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
142,Asia,2010,GDP in current prices (millions of US dollars),"20,892,982",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
142,Asia,2015,GDP in current prices (millions of US dollars),"26,598,242",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
142,Asia,2016,GDP in current prices (millions of US dollars),"27,563,610",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
142,Asia,2017,GDP in current prices (millions of US dollars),"29,477,988",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
142,Asia,1985,GDP per capita (US dollars),"1,010",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
142,Asia,1995,GDP per capita (US dollars),"2,636",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
142,Asia,2005,GDP per capita (US dollars),"3,113",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
142,Asia,2010,GDP per capita (US dollars),"4,982",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
142,Asia,2015,GDP per capita (US dollars),"6,018",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
142,Asia,2016,GDP per capita (US dollars),"6,177",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
142,Asia,2017,GDP per capita (US dollars),"6,545",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
142,Asia,1985,GDP in constant 2010 prices (millions of US dollars),"6,803,983",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
142,Asia,1995,GDP in constant 2010 prices (millions of US dollars),"11,050,094",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
142,Asia,2005,GDP in constant 2010 prices (millions of US dollars),"16,373,075",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
142,Asia,2010,GDP in constant 2010 prices (millions of US dollars),"20,892,982",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
142,Asia,2015,GDP in constant 2010 prices (millions of US dollars),"26,343,440",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
142,Asia,2016,GDP in constant 2010 prices (millions of US dollars),"27,525,475",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
142,Asia,2017,GDP in constant 2010 prices (millions of US dollars),"28,810,433",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
142,Asia,1985,GDP real rates of growth (percent),4.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
142,Asia,1995,GDP real rates of growth (percent),5.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
142,Asia,2005,GDP real rates of growth (percent),5.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
142,Asia,2010,GDP real rates of growth (percent),7.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
142,Asia,2015,GDP real rates of growth (percent),4.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
142,Asia,2016,GDP real rates of growth (percent),4.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
142,Asia,2017,GDP real rates of growth (percent),4.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
143,Central Asia,1995,GDP in current prices (millions of US dollars),"38,937",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
143,Central Asia,2005,GDP in current prices (millions of US dollars),"90,468",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
143,Central Asia,2010,GDP in current prices (millions of US dollars),"220,593",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
143,Central Asia,2015,GDP in current prices (millions of US dollars),"301,877",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
143,Central Asia,2016,GDP in current prices (millions of US dollars),"254,659",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
143,Central Asia,2017,GDP in current prices (millions of US dollars),"261,710",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
143,Central Asia,1995,GDP per capita (US dollars),729,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
143,Central Asia,2005,GDP per capita (US dollars),"1,540",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
143,Central Asia,2010,GDP per capita (US dollars),"3,493",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
143,Central Asia,2015,GDP per capita (US dollars),"4,394",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
143,Central Asia,2016,GDP per capita (US dollars),"3,649",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
143,Central Asia,2017,GDP per capita (US dollars),"3,694",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
143,Central Asia,1995,GDP in constant 2010 prices (millions of US dollars),"89,429",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
143,Central Asia,2005,GDP in constant 2010 prices (millions of US dollars),"157,606",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
143,Central Asia,2010,GDP in constant 2010 prices (millions of US dollars),"220,593",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
143,Central Asia,2015,GDP in constant 2010 prices (millions of US dollars),"297,786",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
143,Central Asia,2016,GDP in constant 2010 prices (millions of US dollars),"306,560",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
143,Central Asia,2017,GDP in constant 2010 prices (millions of US dollars),"320,870",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
143,Central Asia,1995,GDP real rates of growth (percent),-6.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
143,Central Asia,2005,GDP real rates of growth (percent),9.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
143,Central Asia,2010,GDP real rates of growth (percent),7.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
143,Central Asia,2015,GDP real rates of growth (percent),3.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
143,Central Asia,2016,GDP real rates of growth (percent),2.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
143,Central Asia,2017,GDP real rates of growth (percent),4.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
30,Eastern Asia,1985,GDP in current prices (millions of US dollars),"1,922,987",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
30,Eastern Asia,1995,GDP in current prices (millions of US dollars),"7,177,176",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
30,Eastern Asia,2005,GDP in current prices (millions of US dollars),"8,524,913",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
30,Eastern Asia,2010,GDP in current prices (millions of US dollars),"13,619,284",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
30,Eastern Asia,2015,GDP in current prices (millions of US dollars),"17,750,809",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
30,Eastern Asia,2016,GDP in current prices (millions of US dollars),"18,479,876",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
30,Eastern Asia,2017,GDP in current prices (millions of US dollars),"19,634,506",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
30,Eastern Asia,1985,GDP per capita (US dollars),"1,506",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
30,Eastern Asia,1995,GDP per capita (US dollars),"4,904",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
30,Eastern Asia,2005,GDP per capita (US dollars),"5,483",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
30,Eastern Asia,2010,GDP per capita (US dollars),"8,535",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
30,Eastern Asia,2015,GDP per capita (US dollars),"10,857",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
30,Eastern Asia,2016,GDP per capita (US dollars),"11,256",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
30,Eastern Asia,2017,GDP per capita (US dollars),"11,914",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
30,Eastern Asia,1985,GDP in constant 2010 prices (millions of US dollars),"4,683,137",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
30,Eastern Asia,1995,GDP in constant 2010 prices (millions of US dollars),"7,469,938",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
30,Eastern Asia,2005,GDP in constant 2010 prices (millions of US dollars),"10,723,064",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
30,Eastern Asia,2010,GDP in constant 2010 prices (millions of US dollars),"13,619,284",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
30,Eastern Asia,2015,GDP in constant 2010 prices (millions of US dollars),"17,002,833",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
30,Eastern Asia,2016,GDP in constant 2010 prices (millions of US dollars),"17,708,096",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
30,Eastern Asia,2017,GDP in constant 2010 prices (millions of US dollars),"18,532,899",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
30,Eastern Asia,1985,GDP real rates of growth (percent),6.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
30,Eastern Asia,1995,GDP real rates of growth (percent),4.8,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
30,Eastern Asia,2005,GDP real rates of growth (percent),5.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
