T03,Population and rates of growth in urban areas and capital cities,,,,,,,
Region/Country/Area,,Year,Series,Capital City,Capital City footnote,Value,Footnotes,Source
151,Eastern Europe,2015,Rural population (percent growth rate per annum),,,-0.3,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
151,Eastern Europe,2018,Urban population (percent),,,69.6,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
154,Northern Europe,2005,Urban population (percent),,,78.9,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
154,Northern Europe,2005,Urban population (percent growth rate per annum),,,0.6,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
154,Northern Europe,2005,Rural population (percent growth rate per annum),,,-0.5,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
154,Northern Europe,2010,Urban population (percent),,,80.1,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
154,Northern Europe,2010,Urban population (percent growth rate per annum),,,1.1,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
154,Northern Europe,2010,Rural population (percent growth rate per annum),,,-0.4,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
154,Northern Europe,2015,Urban population (percent),,,81.4,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
154,Northern Europe,2015,Urban population (percent growth rate per annum),,,0.9,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
154,Northern Europe,2015,Rural population (percent growth rate per annum),,,-0.9,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
154,Northern Europe,2018,Urban population (percent),,,82.2,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
39,Southern Europe,2005,Urban population (percent),,,67.8,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
39,Southern Europe,2005,Urban population (percent growth rate per annum),,,1.0,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
39,Southern Europe,2005,Rural population (percent growth rate per annum),,,-0.2,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
39,Southern Europe,2010,Urban population (percent),,,69.2,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
39,Southern Europe,2010,Urban population (percent growth rate per annum),,,0.9,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
39,Southern Europe,2010,Rural population (percent growth rate per annum),,,-0.4,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
39,Southern Europe,2015,Urban population (percent),,,70.6,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
39,Southern Europe,2015,Urban population (percent growth rate per annum),,,0.2,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
39,Southern Europe,2015,Rural population (percent growth rate per annum),,,-1.1,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
39,Southern Europe,2018,Urban population (percent),,,71.5,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
155,Western Europe,2005,Urban population (percent),,,77.3,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
155,Western Europe,2005,Urban population (percent growth rate per annum),,,0.7,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
155,Western Europe,2005,Rural population (percent growth rate per annum),,,-0.8,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
155,Western Europe,2010,Urban population (percent),,,78.5,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
155,Western Europe,2010,Urban population (percent growth rate per annum),,,0.6,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
155,Western Europe,2010,Rural population (percent growth rate per annum),,,-0.9,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
155,Western Europe,2015,Urban population (percent),,,79.4,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
155,Western Europe,2015,Urban population (percent growth rate per annum),,,0.6,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
155,Western Europe,2015,Rural population (percent growth rate per annum),,,-0.4,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
155,Western Europe,2018,Urban population (percent),,,79.9,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
9,Oceania,2005,Urban population (percent),,,68.0,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
9,Oceania,2005,Urban population (percent growth rate per annum),,,1.3,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
9,Oceania,2005,Rural population (percent growth rate per annum),,,1.6,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
9,Oceania,2010,Urban population (percent),,,68.1,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
9,Oceania,2010,Urban population (percent growth rate per annum),,,1.8,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
9,Oceania,2010,Rural population (percent growth rate per annum),,,1.7,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
9,Oceania,2015,Urban population (percent),,,68.1,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
9,Oceania,2015,Urban population (percent growth rate per annum),,,1.5,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
9,Oceania,2015,Rural population (percent growth rate per annum),,,1.5,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
9,Oceania,2018,Urban population (percent),,,68.2,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
53,Australia and New Zealand,2005,Urban population (percent),,,84.9,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
53,Australia and New Zealand,2005,Urban population (percent growth rate per annum),,,1.3,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
53,Australia and New Zealand,2005,Rural population (percent growth rate per annum),,,0.8,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
53,Australia and New Zealand,2010,Urban population (percent),,,85.3,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
53,Australia and New Zealand,2010,Urban population (percent growth rate per annum),,,1.8,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
53,Australia and New Zealand,2010,Rural population (percent growth rate per annum),,,1.0,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
53,Australia and New Zealand,2015,Urban population (percent),,,85.8,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
53,Australia and New Zealand,2015,Urban population (percent growth rate per annum),,,1.5,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
53,Australia and New Zealand,2015,Rural population (percent growth rate per annum),,,0.8,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
53,Australia and New Zealand,2018,Urban population (percent),,,86.1,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
54,Melanesia,2005,Urban population (percent),,,18.9,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
54,Melanesia,2005,Urban population (percent growth rate per annum),,,2.2,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
54,Melanesia,2005,Rural population (percent growth rate per annum),,,2.3,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
54,Melanesia,2010,Urban population (percent),,,19.0,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
54,Melanesia,2010,Urban population (percent growth rate per annum),,,2.3,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
54,Melanesia,2010,Rural population (percent growth rate per annum),,,2.2,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
54,Melanesia,2015,Urban population (percent),,,19.2,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
54,Melanesia,2015,Urban population (percent growth rate per annum),,,2.2,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
54,Melanesia,2015,Rural population (percent growth rate per annum),,,2.0,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
54,Melanesia,2018,Urban population (percent),,,19.4,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
57,Micronesia,2005,Urban population (percent),,,65.9,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
57,Micronesia,2005,Urban population (percent growth rate per annum),,,0.3,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
57,Micronesia,2005,Rural population (percent growth rate per annum),,,0.0,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
57,Micronesia,2010,Urban population (percent),,,66.6,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
57,Micronesia,2010,Urban population (percent growth rate per annum),,,0.2,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
57,Micronesia,2010,Rural population (percent growth rate per annum),,,-0.4,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
57,Micronesia,2015,Urban population (percent),,,67.9,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
57,Micronesia,2015,Urban population (percent growth rate per annum),,,1.0,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
57,Micronesia,2015,Rural population (percent growth rate per annum),,,-0.2,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
57,Micronesia,2018,Urban population (percent),,,68.7,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
61,Polynesia,2005,Urban population (percent),,,43.5,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
61,Polynesia,2005,Urban population (percent growth rate per annum),,,1.3,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
61,Polynesia,2005,Rural population (percent growth rate per annum),,,0.6,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
61,Polynesia,2010,Urban population (percent),,,44.3,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
61,Polynesia,2010,Urban population (percent growth rate per annum),,,0.9,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
61,Polynesia,2010,Rural population (percent growth rate per annum),,,0.2,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
61,Polynesia,2015,Urban population (percent),,,44.5,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
61,Polynesia,2015,Urban population (percent growth rate per annum),,,0.6,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
61,Polynesia,2015,Rural population (percent growth rate per annum),,,0.4,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
61,Polynesia,2018,Urban population (percent),,,44.4,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
4,Afghanistan,2005,Urban population (percent),,,22.7,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
4,Afghanistan,2005,Urban population (percent growth rate per annum),,,5.0,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
4,Afghanistan,2005,Rural population (percent growth rate per annum),,,4.3,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
4,Afghanistan,2005,Capital city population (thousands),Kabul,,"2,905",,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
4,Afghanistan,2005,Capital city population (as a percentage of total population),Kabul,,11.6,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
4,Afghanistan,2005,Capital city population (as a percentage of total urban population),Kabul,,51.0,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
4,Afghanistan,2010,Urban population (percent),,,23.7,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
4,Afghanistan,2010,Urban population (percent growth rate per annum),,,3.7,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
4,Afghanistan,2010,Rural population (percent growth rate per annum),,,2.5,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
4,Afghanistan,2010,Capital city population (thousands),Kabul,,"3,289",,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
4,Afghanistan,2010,Capital city population (as a percentage of total population),Kabul,,11.4,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
4,Afghanistan,2010,Capital city population (as a percentage of total urban population),Kabul,,48.1,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
4,Afghanistan,2015,Urban population (percent),,,24.8,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
4,Afghanistan,2015,Urban population (percent growth rate per annum),,,4.0,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
4,Afghanistan,2015,Rural population (percent growth rate per annum),,,2.9,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
4,Afghanistan,2015,Capital city population (thousands),Kabul,,"3,724",,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
4,Afghanistan,2015,Capital city population (as a percentage of total population),Kabul,,11.0,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
4,Afghanistan,2015,Capital city population (as a percentage of total urban population),Kabul,,44.5,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
4,Afghanistan,2018,Urban population (percent),,,25.5,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
4,Afghanistan,2018,Capital city population (thousands),Kabul,,"4,012",,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
8,Albania,2005,Urban population (percent),,,46.7,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
8,Albania,2005,Urban population (percent growth rate per annum),,,2.0,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
8,Albania,2005,Rural population (percent growth rate per annum),,,-2.1,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
8,Albania,2005,Capital city population (thousands),Tirana,,372,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
8,Albania,2005,Capital city population (as a percentage of total population),Tirana,,12.1,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
8,Albania,2005,Capital city population (as a percentage of total urban population),Tirana,,25.8,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
8,Albania,2010,Urban population (percent),,,52.2,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
8,Albania,2010,Urban population (percent growth rate per annum),,,1.3,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
8,Albania,2010,Rural population (percent growth rate per annum),,,-3.1,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
8,Albania,2010,Capital city population (thousands),Tirana,,409,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
8,Albania,2010,Capital city population (as a percentage of total population),Tirana,,13.9,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
8,Albania,2010,Capital city population (as a percentage of total urban population),Tirana,,26.6,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
8,Albania,2015,Urban population (percent),,,57.4,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
8,Albania,2015,Urban population (percent growth rate per annum),,,1.8,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
8,Albania,2015,Rural population (percent growth rate per annum),,,-2.5,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
8,Albania,2015,Capital city population (thousands),Tirana,,449,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
8,Albania,2015,Capital city population (as a percentage of total population),Tirana,,15.4,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
8,Albania,2015,Capital city population (as a percentage of total urban population),Tirana,,26.8,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
8,Albania,2018,Urban population (percent),,,60.3,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
8,Albania,2018,Capital city population (thousands),Tirana,,476,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
12,Algeria,2005,Urban population (percent),,,63.8,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
12,Algeria,2005,Urban population (percent growth rate per annum),,,2.6,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
12,Algeria,2005,Rural population (percent growth rate per annum),,,-0.7,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
12,Algeria,2005,Capital city population (thousands),Algiers,,"2,282",Refers to the Governorate of Grand Algiers.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
12,Algeria,2005,Capital city population (as a percentage of total population),Algiers,,6.9,Refers to the Governorate of Grand Algiers.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
12,Algeria,2005,Capital city population (as a percentage of total urban population),Algiers,,10.7,Refers to the Governorate of Grand Algiers.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
12,Algeria,2010,Urban population (percent),,,67.5,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
12,Algeria,2010,Urban population (percent growth rate per annum),,,2.8,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
12,Algeria,2010,Rural population (percent growth rate per annum),,,-0.5,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
12,Algeria,2010,Capital city population (thousands),Algiers,,"2,432",Refers to the Governorate of Grand Algiers.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
12,Algeria,2010,Capital city population (as a percentage of total population),Algiers,,6.7,Refers to the Governorate of Grand Algiers.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
12,Algeria,2010,Capital city population (as a percentage of total urban population),Algiers,,10.0,Refers to the Governorate of Grand Algiers.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
12,Algeria,2015,Urban population (percent),,,70.8,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
12,Algeria,2015,Urban population (percent growth rate per annum),,,2.9,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
12,Algeria,2015,Rural population (percent growth rate per annum),,,-0.2,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
12,Algeria,2015,Capital city population (thousands),Algiers,,"2,592",Refers to the Governorate of Grand Algiers.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
12,Algeria,2015,Capital city population (as a percentage of total population),Algiers,,6.5,Refers to the Governorate of Grand Algiers.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
12,Algeria,2015,Capital city population (as a percentage of total urban population),Algiers,,9.2,Refers to the Governorate of Grand Algiers.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
12,Algeria,2018,Urban population (percent),,,72.6,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
12,Algeria,2018,Capital city population (thousands),Algiers,,"2,694",Refers to the Governorate of Grand Algiers.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
16,American Samoa,2005,Urban population (percent),,,88.1,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
16,American Samoa,2005,Urban population (percent growth rate per annum),,,0.4,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
16,American Samoa,2005,Rural population (percent growth rate per annum),,,1.4,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
16,American Samoa,2010,Urban population (percent),,,87.6,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
16,American Samoa,2010,Urban population (percent growth rate per annum),,,-1.3,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
16,American Samoa,2010,Rural population (percent growth rate per annum),,,-0.4,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
16,American Samoa,2015,Urban population (percent),,,87.2,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
16,American Samoa,2015,Urban population (percent growth rate per annum),,,-0.1,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
16,American Samoa,2015,Rural population (percent growth rate per annum),,,0.5,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
16,American Samoa,2018,Urban population (percent),,,87.2,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
16,American Samoa,2018,Capital city population (thousands),Pago Pago,,49,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
20,Andorra,2005,Urban population (percent),,,90.3,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
20,Andorra,2005,Urban population (percent growth rate per annum),,,3.3,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
20,Andorra,2005,Rural population (percent growth rate per annum),,,8.6,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
20,Andorra,2010,Urban population (percent),,,88.8,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
20,Andorra,2010,Urban population (percent growth rate per annum),,,1.0,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
20,Andorra,2010,Rural population (percent growth rate per annum),,,4.2,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
20,Andorra,2015,Urban population (percent),,,88.3,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
20,Andorra,2015,Urban population (percent growth rate per annum),,,-1.7,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
20,Andorra,2015,Rural population (percent growth rate per annum),,,-0.8,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
20,Andorra,2018,Urban population (percent),,,88.1,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
20,Andorra,2018,Capital city population (thousands),Andorra la Vella,,23,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018."
